full_name,included_libraries
thu-ml/zhusuan,"numpy, six"
giulbia/baby_cry_detection,"librosa, numpy"
scikit-learn-contrib/polylearn,"scikit-learn, six"
ArtificialIntelligenceToolkit/conx,"cairosvg, h5py, ipython, ipywidgets, keras, matplotlib, numpy, pillow, pydot, requests, sklearn, tqdm"
mayukh18/reco,"numpy, pandas"
natasha/natasha,"navec, pymorphy2, razdel, yargy"
anttttti/Wordbatch,"cython, numpy, pandas, py-lz4framed, python-levenshtein, randomgen, scikit-learn, scipy, wheel"
lacava/few,"cython, eigency, joblib, numpy, pandas, scikit-learn, scipy, tqdm, update-checker"
codekansas/gandlf,keras
coursera/courseraresearchexports,"argcomplete, docker-py, psycopg2, python-dateutil, requests, sqlalchemy, tabulate, tqdm"
rpgomez/vomm,"numpy, scipy"
issey173/DeepFramework,"h5py, numpy, six"
kootenpv/whereami,"numpy, scikit-learn, scipy, tqdm"
farizrahman4u/recurrentshop,keras
EpistasisLab/scikit-rebate,"numpy, scikit-learn, scipy"
ViciousPotato/safaribooks,"beautifulsoup4, jinja2, scrapy, twisted"
alshedivat/keras-gp,"keras, numpy, pyyaml, six, tensorflow"
amueller/mglearn,"cycler, imageio, joblib, matplotlib, numpy, pandas, pillow, scikit-learn"
vicolab/ml-pyxis,"lmdb, numpy, six"
fabiencro/knmt,"chainer, numpy, plotly"
mljar/mljar-api-python,"marshmallow, requests"
paulbrodersen/entropy_based_binning,numpy
HDI-Project/ATM,"boto3, docutils, flask, flask-sqlalchemy, future, numpy, pandas, pymysql, python-daemon, requests, scikit-learn, scipy, simplejson, sqlalchemy, tqdm, werkzeug"
tambetm/gym-minecraft,"gym, pygame"
obachem/kmc2,"nose, numpy, scikit-learn, scipy"
hoxo-m/densratio_py,numpy
TensorPy/TensorPy,"beautifulsoup4, pillow, pip, requests, six, tensorflow"
deepgram/kur,"jinja2, keras, matplotlib, numpy, pydub, python-magic, pyyaml, scipy, theano, tqdm"
vecxoz/vecstack,"numpy, scikit-learn, scipy"
pyprob/pyprob,"flatbuffers, matplotlib, numpy, pydotplus, pyyaml, pyzmq, scikit-learn, sqlitedict, termcolor, torch"
mbernico/snape,"beautifulsoup4, lxml, numpy, pandas, requests, scikit-learn"
cytomining/DeepProfiler,"beautifulsoup4, click, comet-ml, efficientnet, imagecodecs, lxml, numpy, pandas, scikit-image, scikit-learn, scipy, tensorflow, tensorflow-addons, tqdm"
slinderman/recurrent-slds,"matplotlib, numpy, scipy, seaborn"
marteinn/wagtail-alt-generator,"requests, wagtail"
PPPLDeepLearning/plasma-python,"joblib, matplotlib, mpi4py, pathos, scikit-learn, xgboost"
geronimp/enrichM,"biopython, fuzzywuzzy, numpy, pandas, python-dateutil, scikit-learn, scipy, six, statsmodels, tempdir"
openAGI/tefla,"click, cython, matplotlib, numpy, opencv-python, pandas, pillow, portpicker, pydensecrf, pyyaml, scikit-image, scikit-learn, scipy, setuptools, sharedarray, six"
xinjli/pytensor,"numpy, scikit-learn"
jluttine/junction-tree,"attrs, numpy, scipy"
X-DataInitiative/tick,"dill, matplotlib, numpy, numpydoc, pandas, scikit-learn, scipy, sphinx"
bstriner/keras-tqdm,"keras, tqdm"
bnpy/bnpy,"cython, ipython, joblib, matplotlib, memory-profiler, munkres, numexpr, numpy, pandas, scikit-learn, scipy"
datapythonista/mnist,numpy
TalwalkarLab/paleo,"click, numpy, six"
skcript/cvscan,"click, nltk, numpy, pdfminer, wheel"
daniel-muthukrishna/astrodash,"astropy, numpy, pyqtgraph, scipy, tensorflow"
