LIBRARY,FREQUENCY
numpy,127
scipy,62
scikit-learn,57
pandas,40
six,32
matplotlib,31
requests,30
pillow,17
tqdm,16
pyyaml,14
cython,13
joblib,12
nltk,12
click,11
keras,11
networkx,10
h5py,9
tensorflow,9
sklearn,8
beautifulsoup4,7
future,7
lxml,7
python-dateutil,7
theano,6
bottle,5
flask,5
gensim,5
scikit-image,5
setuptools,5
spacy,5
sqlalchemy,5
tabulate,5
termcolor,5
jinja2,4
jpype1,4
opencv-python,4
pyzmq,4
regex,4
torch,4
ujson,4
appdirs,3
astropy,3
colorama,3
nose,3
pip,3
plotly,3
pymorphy2,3
toolz,3
tornado,3
wheel,3
wikipedia,3
aiohttp,2
biopython,2
boto3,2
bs4,2
certifi,2
chainer,2
chardet,2
cssselect,2
dill,2
docopt,2
docutils,2
enum34,2
google-api-python-client,2
gtts,2
inflect,2
ipython,2
jellyfish,2
lasagne,2
librosa,2
munkres,2
navec,2
packaging,2
pathos,2
pocketsphinx,2
portpicker,2
py-lz4framed,2
pyaudio,2
pydensecrf,2
pyenchant,2
pyglet,2
pysoundfile,2
pytest,2
python-levenshtein,2
randomgen,2
razdel,2
redis,2
seaborn,2
selenium,2
sharedarray,2
sqlitedict,2
statsmodels,2
tables,2
toposort,2
unicodecsv,2
unidecode,2
wn,2
wolframalpha,2
xgboost,2
yargy,2
addict,1
aiocqhttp,1
aniso8601,1
annoy,1
argcomplete,1
arrow,1
attrs,1
bcolz,1
bidict,1
blinker,1
blis,1
boto,1
bsddb3,1
bz2file,1
cached-property,1
cachetools,1
cairosvg,1
catalogue,1
cchardet,1
cffi,1
colorlog,1
comet-ml,1
concrete,1
confection,1
configparser,1
cycler,1
cymem,1
cytoolz,1
decorator,1
deprecation,1
diskcache,1
distribute,1
django,1
docker-py,1
dragonfly2,1
drmaa,1
editdistance,1
efficientnet,1
eigency,1
elasticsearch,1
elasticsearch-dsl,1
flair,1
flask-sqlalchemy,1
flatbuffers,1
funcsigs,1
fuzzywuzzy,1
geopy,1
glumpy,1
gluonnlp,1
google-auth,1
google-cloud-dialogflow,1
google-cloud-storage,1
goose-extractor,1
grequests,1
gym,1
html5lib,1
httplib2,1
humanfriendly,1
idna,1
imagecodecs,1
imageio,1
ipywidgets,1
jsonlines,1
justext,1
lazy,1
leven,1
lmdb,1
marisa-trie,1
markupsafe,1
marshmallow,1
memory-profiler,1
mistune,1
mock,1
monotonic,1
more-itertools,1
mpi4py,1
murmurhash,1
mwparserfromhell,1
mxnet,1
nibabel,1
num2words,1
numexpr,1
numpydoc,1
oauth2client,1
opencv-python-headless,1
openpyxl,1
pdbparser,1
pdfminer,1
pdfminer-six,1
pep8,1
ply,1
preshed,1
prettytable,1
psycopg2,1
pudb,1
py4j,1
pyautogui,1
pycountry,1
pycuda,1
pydantic,1
pydot,1
pydotplus,1
pydub,1
pyflakes,1
pyfst,1
pygame,1
pygit2,1
pygments,1
pykwalify,1
pymavlink,1
pymongo,1
pymysql,1
pyparsing,1
pyphen,1
pypyodbc,1
pyqt5,1
pyqtgraph,1
pyspark,1
pysrt,1
python-crfsuite,1
python-daemon,1
python-magic,1
pytz,1
rasterio,1
rasterstats,1
rauth,1
rdflib,1
recordclass,1
robotframework,1
roman,1
rpyc,1
ruamel-yaml,1
scandir,1
scrapy,1
setuptools-git,1
setuptools-scm,1
shapely,1
simplejson,1
smart-open,1
spacy-legacy,1
spacy-loggers,1
sparqlwrapper,1
sphinx,1
srsly,1
structlog,1
tempdir,1
tensor2tensor,1
tensorboard,1
tensorflow-addons,1
terminaltables,1
textacy,1
thinc,1
threadpoolctl,1
thrift,1
tldextract,1
tomlkit,1
transformers,1
transforms3d,1
treelib,1
tweepy,1
twisted,1
typer,1
typing-extensions,1
unittest2,1
update-checker,1
urllib3,1
version,1
virtualenv,1
wagtail,1
werkzeug,1
windows,1
wxpython,1
xmltodict,1
xxhash,1
