full_name,included_libraries
CSAILVision/semantic-segmentation-pytorch,"numpy, opencv-python, scipy, torch, torchvision, tqdm, yacs"
onnx/onnx-tensorflow,"pyyaml, tensorflow-addons, tensorflow-probability"
githubharald/CTCDecoder,"editdistance, numpy"
Windsooon/cherry,"numpy, scikit-learn"
spotty-cloud/spotty,"boto3, cfn-flip, google-api-python-client, google-cloud-storage, schema"
kk7nc/RMDL,"keras, nltk, numpy, pandas, scikit-learn, scipy, tensorflow"
pzivich/zEpid,"numpy, pandas, scikit-learn, scipy, statsmodels, tabulate"
minepy/mictools,"click, numpy, pandas, scipy, statsmodels"
trevorcampbell/bayesian-coresets,"numpy, scikit-learn, scipy"
felix-last/kmeans_smote,"imbalanced-learn, numpy, scikit-learn"
matthew-sochor-zz/transfer,"colorama, flask, h5py, keras, numpy, opencv-python, pandas, pillow, pyyaml, scikit-learn, seaborn, termcolor, tqdm"
Oslandia/deeposlandia,"daiquiri, flask, geopandas, keras, numpy, opencv-python, pillow, rtree, seaborn, shapely, tensorflow"
zhenglz/dockingML,"mdtraj, networkx, numpy, pandas, scikit-learn"
IntelPython/ibench,"jinja2, numpy, scikit-learn, scipy"
VictorPelaez/coral-reef-optimization-algorithm,"multiprocess, numpy, pandas, scikit-learn, scipy"
danhper/suplearn-clone-detection,"h5py, keras, numpy, pyyaml, scikit-learn, sqlalchemy, tqdm"
adiengineer/Animal-sounds-Embedded-Classifier,"librosa, numpy, pandas, pydub, sklearn"
brine-io/brine,"bcolz, numpy, pandas, pillow, requests, tqdm"
innovationgarage/label-V,"flask, numpy, opencv-contrib-python, scipy"
modAL-python/modAL,"numpy, pandas, scikit-learn, scipy, skorch"
hiroharu-kato/neural_renderer,"chainer, cupy, numpy, scikit-image, tqdm"
shubhomoydas/ad_examples,"cvxopt, numpy, pandas, scikit-learn, scipy, six, statsmodels"
marcoancona/DeepExplain,"scikit-image, scipy"
Hiroshiba/become-yukarin,"chainer, fastdtw, librosa, numpy, pyworld"
ylongqi/openrec,"numpy, termcolor, tqdm"
sxjscience/HKO-7,"easydict, moviepy, numba, numpy, pandas, pillow, pyyaml, scipy, six"
naturomics/CapsLayer,"numpy, scipy, tqdm"
omimo/PyMO,"numpy, pandas, scikit-learn"
Barqawiz/Shakkala,"click, h5py, nltk, numpy, tensorflow"
sony/nnabla-examples,"dominate, pyyaml"
samoturk/mol2vec,"gensim, ipython, joblib, numpy, pandas, seaborn, tqdm"
Games-and-Simulations/sc-docker,"coloredlogs, docker, numpy, pandas, python-dateutil, requests, tqdm"
jmcarpenter2/parfit,"joblib, numpy, sklearn"
pnnl/safekit,"numpy, scipy, sklearn, tensorflow"
KrishnaswamyLab/MELD,"graphtools, numpy, pandas, scikit-learn, scipy, scprep"
sdpython/mlprodict,"cython, numpy, onnx, pybind11, scipy"
duckietown/gym-duckietown,"gym, numpy, opencv-python, pillow, pyglet, pyyaml, pyzmq, typing-extensions"
Gabrock94/Pysiology,"numpy, peakutils, scipy"
dflemin3/approxposterior,numpy
delton137/mmltoolkit,"numpy, scikit-learn"
sktime/mlaut,"h5py, numpy, orange3, pandas, scikit-learn, scikit-posthocs, scipy, tables, tensorflow, wrapt"
caiostringari/pywavelearn,"colour, numpy, opencv-python, pandas, scikit-image, scikit-learn, scipy, seaborn, xarray"
ahmdrz/orcas,"dlib, numpy, scipy"
genfifth/cvopt,"bokeh, numpy, pandas, scikit-learn"
guofei9987/scikit-opt,"numpy, scipy"
thoughtworksarts/EmoPy,"coverage, graphviz, h5py, keras, lasagne, numpy, opencv-python, pydot, pytest, scikit-image, scikit-learn, scipy, tensorflow"
anhaidgroup/deepmatcher,"cython, dill, fasttext, nltk, pandas, scikit-learn, six, torch, torchtext, tqdm"
scikit-learn-contrib/DESlib,"numpy, scikit-learn, scipy"
HazyResearch/pdftotree,"beautifulsoup4, ipython, keras, numpy, pandas, pdfminer-six, pillow, sklearn, tabula-py, tensorflow, wand"
mxbi/mlcrate,"numpy, pandas, pathos, tqdm"
chen0040/keras-text-summarization,keras
surmenok/keras_lr_finder,keras
sigsep/sigsep-mus-db,"numpy, stempeg, tqdm"
YaleDHLab/intertext,"beautifulsoup4, datasketch, networkx, nltk, numpy, requests, unidecode"
zubata88/mdgru,"imageio, nibabel, numpy, pydicom, scikit-image, scipy, simpleitk, tensorflow-gpu, torch, torchvision"
beringresearch/lab,"click, graphviz, joblib, minio, numpy, pandas, pyyaml, tabulate"
ooreilly/mydocstring,docopt
AmyOlex/Chrono,"keras, nltk, numpy, python-dateutil, sklearn, tensorflow"
MVIG-SJTU/AlphaPose,"easydict, munkres, natsort, opencv-python, pyyaml, scipy, six, tensorboardx, terminaltables, timm, torch, torchvision, tqdm"
OpenMined/PyGrid-deprecated---see-PySyft-,"boto3, click, pyinquirer"
klaudiosinani/moviebox,"click, colorama, pandas, scikit-learn, termcolor"
regel/loudml,"boto3, dateutils, elasticsearch, flask, gevent, h5py, influxdb, jinja2, networkx, numpy, pycrypto, pymongo, pytz, pyyaml, requests, requests-aws4auth, schedule"
Cadene/bootstrap.pytorch,"argparse, click, ipdb, numpy, plotly, pyyaml, seaborn, tabulate, tensorboardx, torch"
alexarnimueller/som,"numpy, scikit-learn, scipy"
grei-ufc/pade,"click, flask, flask-migrate, flask-script, flask-sqlalchemy, flask-wtf, itsdangerous, jinja2, markupsafe, requests, sqlalchemy, terminaltables, twisted, werkzeug"
statefb/dtwalign,numpy
autoai-org/CVTron,"requests, tensorflow, tqdm"
thu-ml/stochastic_gcn,"networkx, numpy, scipy, tensorflow-gpu"
SylwiaOliwia2/xgboost-AutoTune,"numpy, sklearn"
CCQC/PES-Learn,"cclib, joblib, numpy, pandas, qcengine, scikit-learn, torch"
jay-johnson/network-pipeline,"colorlog, coverage, flake8, future, mock, netifaces, pandas, pep8, pipenv, pycodestyle, pydocstyle, pylint, python-dateutil, python-logstash, tox, unittest2"
spotify/docker_interface,"jsonschema, pyyaml"
farizrahman4u/eywa,"annoy, dateparser, numpy, requests, responder, scipy"
Yangruipis/simple_ml,"cvxopt, numpy, requests, scipy, setuptools"
Octavian-ai/synthetic-graph-data,"lazy, more-itertools, numpy, tqdm"
eyadgaran/SimpleML,"alembic, click, cloudpickle, configparser, future, numpy, simplejson, sqlalchemy, sqlalchemy-json"
gundamMC/animius,"numpy, pydub, pyreadline, scipy"
hypnopump/keras-wrn,keras
arunponnusamy/cvlib,"imageio, numpy, pillow, progressbar, requests"
alexandonian/pretorched-x,"torch, torchvision"
chen0040/keras-english-resume-parser-and-analyzer,keras
BaderLab/saber,"flask, keras, scikit-learn, tensorflow, waitress"
kylemcdonald/python-utils,"numpy, opencv-python, pillow"
udellgroup/oboe,"mkl, numpy, openml, pandas, scikit-learn, scipy"
IINemo/isanlp,grpcio
kundajelab/genomelake,"bcolz, numpy, pysam, six, tiledb"
grantsrb/PyTorch-A2C,"gym, mlagents-envs, numpy, opencv-python, pillow, scikit-build, scikit-image, torch, tqdm"
tcassou/mlencoders,"numpy, pandas"
Chester75321/GenEpi,"numpy, pandas, pymysql, pyqt5, scikit-learn, scipy, seaborn"
cassiotbatista/rwa-wdm-sim,"argcomplete, networkx, numpy"
negrinho/research_toolbox,"numpy, paramiko, scipy"
odb9402/CNNPeaks,"numpy, pandas, pysam, scipy, sklearn, tensorflow-gpu"
phi-grib/flame,appdirs
koonimaru/DeepGMAP,"natsort, numpy, sklearn, tensorflow, tornado"
vc1492a/henosis,"boto3, dill, flask, gevent, imbalanced-learn, jinja2, numpy, pandas, pyyaml, requests, scikit-learn"
pytorchbearer/torchbearer,"numpy, torch, tqdm"
salesforce/matchbox,"astor, gast"
tympanix/subsync,"h5py, librosa, numpy, pysrt, tensorflow"
seetaresearch/dragon,"ml-dtypes, numpy"
OpenIDEA-YunanUniversity/ycimpute,"numpy, scikit-learn, scipy, six, torch"
AlexEngelhardt/startup-name-generator,"keras, numpy, pyyaml, tensorflow"
MDIL-SNU/SIMPLE-NN,"braceexpand, cffi, numpy, pyyaml, scikit-learn, scipy, tqdm"
jonasrothfuss/videofeatures,"keras, numpy, opencv-python, pandas, scikit-learn"
intel/experiments,"docopt, kubernetes"
parth1993/pycolor_detection,"numpy, opencv-python-headless, pillow, pytest, pytest-mock, scikit-learn, scipy, torch, torchvision"
cperales/pyridge,"cvxopt, numpy, pandas, pymongo, scikit-learn, scipy, toolz"
filipradenovic/cnnimageretrieval-pytorch,"torch, torchvision"
dragonfly/dragonfly,"future, numpy, scipy, six"
aiqm/torchani,"importlib-metadata, requests, torch"
lifeomic/sparkflow,"dill, flask, requests, tensorflow"
crowdAI/marLo,"gym, jinja2, lxml"
guilgautier/DPPy,"numpy, scipy"
pthom/imgui_datascience,opencv-python
Coderik/portal-gun,"boto3, fabric, google-api-python-client, google-auth, google-auth-httplib2, marshmallow"
dumitrescustefan/RoWordNet,"lxml, networkx"
nicolet5/DiffCapAnalyzer,"attrs, certifi, chardet, click, colorama, coverage, cycler, dash, dash-core-components, dash-html-components, dash-table, flask, flask-compress, future, idna, itsdangerous, jinja2, kiwisolver, markupsafe, more-itertools, numpy, packaging, pandas, peakutils, plotly, pluggy, py, pyparsing, pytest, pytest-cov, python-dateutil, pytz, requests, retrying, scipy, six, ua-parser, urllib3, wcwidth, werkzeug, wincertstore"
antsfamily/iprs,"h5py, lxml, numpy, pillow, pyyaml, scikit-image, scikit-learn, scipy, six"
douglasrizzo/dodo_detector,"numpy, opencv-python, tqdm"
QData/FastSK,"certifi, joblib, numpy, pandas, python-dateutil, pytz, scikit-learn, scipy, six, tqdm"
mlhubber/mlhub,"distro, gdown, pyyaml, rapidfuzz, requests, yamlordereddictloader"
priyankshah7/hypers,"cvxopt, numpy, pyqt5, pyqtgraph, scipy"
jnhansen/nd,"numpy, xarray"
hetul-patel/hyspeclib,"numpy, pandas, sklearn, spectral, tensorflow"
mfinzi/olive-oil-ml,"dill, natsort, numpy, pandas, scikit-learn, torch, torchcontrib, torchvision, tqdm"
lasseufpa/5gm-rwi-simulation,"numpy, pyreadline"
matejklemen/deep-rf,"numpy, sklearn"
msangnier/qreg,"cvxopt, numpy"
nschaetti/TorchLanguage,"numpy, torch"
Kyubyong/g2p,"distance, nltk, numpy"
genicam/harvesters,"genicam, numpy"
vanvalenlab/deepcell-tf,"jupyter, numpy, opencv-python-headless, pydot, scikit-image, scikit-learn, scipy, tensorflow, tensorflow-addons, tqdm"
pymetrics/audit-ai,"numpy, pandas, scipy, sklearn, statsmodels"
sdv-dev/TGAN,"numpy, pandas, scikit-learn"
MillionIntegrals/vel,"attrs, cloudpickle, numpy, opencv-python, pandas, pyyaml, scikit-learn"
jeancochrane/pytest-flask-sqlalchemy,"flask-sqlalchemy, packaging, pytest, pytest-mock, sqlalchemy"
wkcn/MobulaOP,"numpy, portalocker"
lanagarmire/deepimpute,"configparser, keras, numpy, pandas, scipy, sklearn, tensorflow"
inferno-pytorch/speedrun,pyyaml
BINDS-LAB-UMASS/bindsnet_experiments,"bindsnet, numpy, paramiko, pyyaml, scikit-learn, torch, tqdm"
Kautenja/gym-tetris,nes-py
notmatthancock/level-set-machine-learning,"h5py, numpy, scikit-fmm, scikit-image, scikit-learn, scipy"
ArtificialIntelligenceToolkit/aiml,setuptools
RViMLab/NSR2018-AOSLO-photoreceptor-detection,"numpy, pillow, scikit-image, scikit-learn, scipy"
keras-team/keras-applications,"h5py, numpy"
pavlin-policar/openTSNE,"numpy, scikit-learn, scipy"
stardist/stardist,"csbdeep, imageio, numba, scikit-image"
HunterMcGushion/hyperparameter_hunter,"joblib, nbconvert, nbformat, numpy, pandas, scikit-learn, scikit-optimize, scipy, simplejson, wrapt"
swook/GazeML,"coloredlogs, dlib, h5py, numpy, opencv-python, pandas, ujson"
airlab-unibas/airlab,"numpy, simpleitk, torch"
nicola-decao/s-vae-pytorch,"numpy, scipy, torch"
CSBDeep/CSBDeep,"numpy, packaging, scipy, six, tifffile, tqdm"
johnolafenwa/TorchFusion,"numpy, tensorboardx, torchtext, torchvision, tqdm"
danielzuegner/nettack,"numba, numpy, scikit-learn, scipy, tensorflow"
MLBazaar/MLPrimitives,"featuretools, keras, langdetect, mlblocks, networkx, nltk, numpy, opencv-python, pandas, scikit-image, scikit-learn, scipy, statsmodels, tensorflow, xgboost"
andrewferlitsch/Gap,"beautifulsoup4, h5py, nltk, numpy, opencv-python, pandas, pillow, requests, unidecode"
nkarasiak/MuseoToolBox,"joblib, numpy, scikit-learn, scipy"
davidinouye/destructive-deep-learning,"numpy, scikit-learn, scipy"
autonomio/signs,"cython, gensim, ipython, keras, numpy, pandas, spacy"
fako/spacy_arguing_lexicon,spacy
Tiiiger/QPyTorch,"ninja, torch"
NVIDIA/Dataset_Utilities,"fuzzyfinder, numpy, opencv-python, pyglet"
bbli/ml_board,"dash, dash-core-components, dash-html-components, numpy, pillow, plotly, pymongo"
MLBazaar/Cardea,"baytune, mlblocks, mlprimitives, scikit-learn"
genixpro/hypermax,"jsonschema, lightgbm, numpy, pymongo, pyyaml, scikit-learn, scipy, urwid"
amzn/MXFusion,"networkx, numpy"
YantaoShen/kpm_rw_person_reid,"h5py, metric-learn, numpy, pillow, scikit-learn, scipy, six, torch, torchvision"
cgnorthcutt/hypopt,"numpy, scikit-learn"
kedz/summarization-datasets,"beautifulsoup4, lxml, requests, ujson"
MarcelRobeer/ContrastiveExplanation,"networkx, numpy, pandas, scikit-image, scikit-learn, scipy"
ruifgmonteiro/pilldex,markdown
asavinov/lambdo,"numpy, pandas, scikit-learn, scipy, statsmodels"
tanelp/deepyeast,keras
renatolfc/chimera-stf,"numpy, pandas, scikit-learn, scipy, tensorflow"
google-deepmind/graph_nets,"absl-py, dm-sonnet, future, networkx, numpy, setuptools, six"
Trusted-AI/AIF360,"numpy, pandas, scikit-learn, scipy"
rbgirshick/yacs,pyyaml
kkyon/botflow,"aiohttp, beautifulsoup4, graphviz, lxml"
vacancy/SceneGraphParser,"spacy, tabulate"
tomrunia/OpticalFlow_Visualization,numpy
airbnb/artificial-adversary,"nltk, pandas, textblob"
RJT1990/mantra,"boto3, django, numpy, pandas, paramiko, pillow, pyyaml, requests, scipy, termcolor"
SimGus/Chatette,"future, six"
SoftwareAG/nyoka,lxml
bstellato/mlopt,"cvxpy, gurobipy, joblib, numpy, pandas, pytorch-lightning, scikit-learn, scikit-umfpack, scipy, torch, torchvision, tqdm, xgboost"
0dust/ResumeFilter,"nltk, pdfminer, python-docx, tensorflow"
Wluper/edm,numpy
manuelaguadomtz/pyeer,numpy
manuelaguadomtz/pythreshold,"numpy, opencv-python, scikit-image, scipy"
zalanborsos/coresets,"numpy, pybind11, scikit-learn, scipy"
chemreps/chemreps,"cclib, numpy, scipy"
squarebridges/megatron,"dill, numpy, pandas"
allenai/scispacy,"conllu, joblib, numpy, requests, scipy, spacy"
tensorflow/mesh,"absl-py, future, six"
kpot/keras-transformer,"keras, numpy"
oseiskar/autosubsync,"numpy, pysoundfile"
rballester/tntorch,"numpy, scipy, torch"
sam31415/timeseriescv,"numpy, pandas"
mctorch/mctorch,"numpy, torch"
louis-she/minetorch,"albumentations, google-api-python-client, google-auth-httplib2, google-auth-oauthlib, seaborn, tensorboardx, torch"
philipperemy/fractional-differentiation-time-series,"numpy, pandas"
mvaldenegro/keras-uncertainty,"keras, numpy, scipy, tqdm"
fsschneider/DeepOBS,"argparse, numpy, pandas, seaborn"
JarnoRFB/incense,"jsonpickle, jupyterlab, pandas, pymongo, pyrsistent, sacred"
rsyi/pylift,"numpy, scikit-learn, scikit-optimize, scipy, xgboost"
TheMTank/cups-rl,"gym, numpy, scikit-image"
IBM/mi-prometheus,"h5py, nltk, numpy, pandas, pillow, pyqt5, sphinx-rtd-theme, tensorboardx, torchtext, torchvision, tqdm"
alan-turing-institute/SigNet,"cvxpy, networkx, scikit-learn"
dingguanglei/jdit,imageio
csinva/disentangled-attribution-curves,"numpy, scikit-learn"
AllenInstitute/aics-ml-segmentation,"aicsimageio, numpy, pandas, pyyaml, scikit-image, scipy, tqdm"
strongio/evolutionary-optimization,numpy
mikdangana/lstm_ekf,"cython, numpy, scipy"
IndexedConv/IndexedConv,"h5py, numpy, torch, torchvision"
daleroberts/s2cloudmask,"joblib, numpy, scikit-image, scikit-learn, xarray, xgboost"
gapml/CV,"h5py, numpy, opencv-python, pillow, requests, tqdm"
xunzheng/notears,"numpy, scipy"
kLabUM/rrcf,numpy
Ledger-Donjon/lascar,"click, h5py, keras, numba, numpy, pytest, scikit-learn, scipy, vispy"
msamogh/nonechucks,future
ofnote/tsalib,sympy
gkhayes/mlrose,"numpy, scikit-learn, scipy"
yoyolicoris/pytorch-NMF,"torch, tqdm"
andrewekhalel/edafa,"numpy, opencv-python"
BirdVox/birdvoxdetect,scikit-learn
deep500/deep500,"cmake, jinja2, numpy, onnx, pillow, tqdm"
EngqvistLab/Tome,"biopython, numpy, pandas, sklearn"
Cohere-Labs-Community/cloud,"apache-libcloud, filelock, numpy, toml"
vduarte/MLEcon,tensorflow
TKassis/OrgaQuant,"cython, keras, opencv-python, pillow, scipy, six"
haotianteng/Xron,"biopython, editdistance, fast-ctc-decode, google-auth, h5py, numpy, oauthlib, ont-fast5-api, packaging, pandas, pysam, scipy, seaborn, statsmodels, tensorboard, toml, torch, torchaudio, torchvision, tqdm"
Qi-max/amlearn,"imbalanced-learn, lockfile, numpy, pandas, scikit-learn, scipy, six, tqdm"
hahnicity/ventMAP,"numpy, pandas, pathlib, prettytable, scipy"
dfsp-spirit/brainload,"nibabel, numpy"
openai/spinningup,cloudpickle
macanv/BERT-BiLSTM-CRF-NER,"numpy, pyzmq, six, termcolor"
idealo/image-super-resolution,"h5py, imageio, numpy, tensorflow, tqdm"
CalculatedContent/WeightWatcher,"matplotlib-inline, numpy, pandas, powerlaw, safetensors, scikit-learn, tqdm"
molecularsets/moses,"fcd-torch, numpy, pandas, scipy, seaborn, torch, tqdm"
Unity-Technologies/obstacle-tower-env,"gym, mlagents-envs"
Shahabks/my-voice-analysis,"numpy, pandas, praat-parselmouth, scipy"
suriyadeepan/torchtest,torch
howl-anderson/hanzi_char_featurizer,"pypinyin, tensorflow"
fgaim/gpuview,"bottle, gpustat"
j-towns/craystack,"autograd, numpy, scipy"
aws/sagemaker-rl-container,"docker-compose, flake8, mock, numpy, pytest, pytest-cov, pytest-xdist, sagemaker, tox"
airalcorn2/strike-with-a-pose,"moderngl, numpy, opencv-python, pillow, pyopengl, pyqt5, scipy, torch, torchvision"
haseebs/OWE,"annoy, attrs, gensim, nltk, numpy, tabulate, tensorboardx, tensorflow, torch, tqdm"
PhilipMay/mltb,"joblib, numpy, pandas, scipy, sklearn, tqdm"
MikhailStartsev/sp_tool,"jellyfish, numpy, scikit-learn"
joschout/tilde,"problog, pyswip, scikit-learn"
ceshine/pytorch-helper-bot,"dataclasses, scikit-learn, tensorboardx, torch, tqdm"
hfahrudin/facex,"opencv-contrib-python, scikit-image, tensorflow"
baidu-research/catamount,"numpy, sympy, tensorflow"
pompetzki/nes-npg,"gym, numpy, torch"
AlpacaTechJP/backlight,"boto3, numpy, pandas"
rail-berkeley/softlearning,"click, dm-control, gitpython, gym, numpy, pandas, scikit-image, scipy, tensorflow, tensorflow-probability"
freewym/espresso,"bitarray, cffi, cython, numpy, omegaconf, regex, sacrebleu, torch, torchaudio, tqdm"
CheckPointSW/Karta,"click, flake8, pydocstyle, scikit-learn"
google-research/nasbench,tensorflow
bp-kelley/descriptastorus,"numpy, pandas-flavor, rdkit, scipy"
Shahabks/myprosody,"numpy, pandas, pickleshare, praat-parselmouth, scikit-learn, scipy"
jotaf98/overboard,"fs, pyopengl, pyqt5, pyqtgraph"
ParikhKadam/bidaf-keras,"keras, nltk, tqdm"
