full_name,included_libraries
chainer/chainerrl,"cached-property, chainer, gym, numpy, pillow, scipy"
tkipf/keras-gcn,keras
MaxHalford/xam,"lightgbm, numpy, pandas, scikit-learn, scipy"
Bihaqo/t3f,numpy
floydhub/floyd-cli,"click, marshmallow, pathlib2, pytz, pyyaml, requests, requests-toolbelt, tabulate"
drckf/paysage,"cytoolz, numexpr, numpy, pandas, pytest, scipy, seaborn, tables, torchvision"
eliberis/parapred,"biopython, docopt, h5py, keras, lxml, numpy, pandas, requests, scikit-learn, scipy, tensorflow"
dantaki/SV2,"cython, numpy, pandas, pysam, scikit-learn"
Professor-G/MicroLIA,"astropy, dill, numpy, opencv-python, pandas, peakutils, scikit-learn, scikit-optimize, scikit-plot, scipy, xgboost"
veugene/data_tools,"bcolz, h5py, numpy, scipy, simpleitk"
reiinakano/scikit-plot,"joblib, scikit-learn, scipy"
chainer/chainercv,"chainer, pillow"
cbaziotis/ekphrasis,"colorama, ftfy, nltk, numpy, termcolor, tqdm, ujson"
mckinziebrandon/DeepChatModels,"numpy, pandas, pyyaml"
chaoming0625/NumpyDL,numpy
gradientinstitute/aboleth,"scipy, six, tensorflow, tensorflow-probability"
daleroberts/hdmedians,"cython, numpy"
nicolashernandez/PyRATA,"ply, sympy"
AlexKuhnle/ShapeWorld,"numpy, pillow, six"
guybedo/minos,"keras, numpy"
johny-c/pylmnn,"numpy, scikit-learn, scipy"
dominiek/transferflow,"numpy, opencv-python, pytest, scipy, tensorflow"
ODonnell-Lipidomics/LipidFinder,"cycler, ipython, ipywidgets, numpy, pandas, requests-toolbelt, scipy, setuptools, xlsxwriter"
robb-brown/DeepDiscovery,"colormath, dill, nibabel, numpy, pandas, scipy, six, tinydb"
Gravity-Spy/GravitySpy,configparser
mavrix93/LightCurvesClassifier,"astropy, bs4, keras, numpy, pandas, pathos, redis, requests, rq, scikit-learn, scipy, tqdm"
divamgupta/image-segmentation-keras,"h5py, imageio, imgaug, keras, opencv-python, tqdm"
Franck-Dernoncourt/NeuroNER,"networkx, scikit-learn, scipy, spacy"
microsoft/malmo-challenge,"future, numpy, pandas, pillow, six"
bhargavvader/pycobra,"numpy, pandas, scikit-learn, scipy, seaborn"
oval-group/mlogger,"future, gitpython, numpy"
bzier/gym-mupen64plus,"gym, mss, numpy, opencv-python, pyyaml, termcolor"
atefm/pDMM,"coverage, numba, numpy"
cshaley/bracketeer,"binarytree, pandas, pillow"
bgutter/sylvia,epc
safer41/aKountable,"keras, tensorflow"
cahya-wirawan/opentc,"numpy, pyparsing, pyyaml, scikit-learn, scipy, tensorflow"
Cadene/pretrained-models.pytorch,"torch, torchvision, tqdm"
fxia22/pointnet.pytorch,"plyfile, torch, tqdm"
DT42/BerryNet,"paho-mqtt, pyopengl, pyopengl-accelerate"
fasiha/ebisu,"numpy, scipy"
p2irc/deepplantphenomics,"numpy, opencv-python, pillow, scipy, tensorflow, tqdm"
rdevon/cortex,"imageio, pyyaml, scipy, sklearn, torchvision"
nils-wisiol/pypuf,"memory-profiler, more-itertools, numpy, scipy, tensorflow"
fomorians/tfstage,termcolor
Tribler/Dollynator,"cryptography, faker, jsonpickle, requests, rsa, twisted"
sirfoga/pygce,"bs4, lxml, numpy, pyhal, selenium, sklearn"
bdwilliamson/vimpy,"numpy, scipy"
jeffkinnison/shadho,"numpy, scikit-learn, scipy"
autonomio/wrangle,"numpy, pandas, scikit-learn, scipy, statsmodels, tensorflow"
hexhex/hexlite,"jpype1, ply"
tslearn-team/tslearn,"joblib, numba, numpy, scikit-learn, scipy"
DLTK/DLTK,"argparse, future, jupyter, numpy, pandas, scikit-image, scipy, simpleitk, xlrd"
FenTechSolutions/CausalDiscoveryToolbox,"joblib, networkx, numpy, pandas, requests, scikit-learn, scipy, skrebate, statsmodels, tqdm"
PeptoneLtd/dspp-keras,"h5py, keras, numpy"
haotianteng/Chiron,"biopython, h5py, numpy, packaging, scipy, statsmodels, tqdm"
duolinwang/MusiteDeep,"h5py, keras, numpy, pandas, pyyaml, theano"
wkcn/mobula,numpy
MomsFriendlyRobotCompany/ar_markers,numpy
rosenbrockc/gblearn,"argparse, ase, numpy, termcolor, tqdm"
tensorflow/tensor2tensor,"absl-py, bz2file, dopamine-rl, flask, future, gevent, google-api-python-client, gunicorn, gym, h5py, numpy, oauth2client, opencv-python, pillow, pypng, requests, scipy, six, sympy, tensorflow-addons, tensorflow-datasets, tensorflow-probability, tqdm"
bethgelab/foolbox,"eagerpy, gitpython, numpy, requests, scipy, setuptools, typing-extensions"
tkipf/gae,"networkx, numpy, scikit-learn, scipy, tensorflow"
edwardlib/observations,"numpy, six"
hyperdashio/hyperdash-sdk-py,"python-slugify, requests, six"
cogitare-ai/cogitare,"cloudpickle, coloredlogs, dask, humanize, numpy, six, toolz, torch, torchvision, tqdm"
Xiul109/eeglib,"fastdtw, numba, numpy, pandas, pyedflib, scikit-learn, scipy"
logicalclocks/hops-util-py,"numpy, pandas, pyjks"
Lif3line/nina_helper_package_mk2,"numpy, scipy, sklearn"
moodlehq/moodle-mlbackend-python,"boto3, flask, itsdangerous, jinja2, joblib, numpy, scikit-learn, tensorflow"
mobidic/MPA,"pysam, tqdm"
google-deepmind/pysc2,"absl-py, enum34, mock, numpy, portpicker, pygame, requests, websocket-client"
asyml/texar,"funcsigs, numpy, packaging, pathlib, pyyaml, regex, requests, sentencepiece"
bfelbo/DeepMoji,"emoji, h5py, keras, numpy, scikit-learn"
endgameinc/gym-malware,"gym, numpy, requests, sklearn"
dhlab-epfl/dhSegment,"click, imageio, opencv-python, pandas, requests, sacred, scikit-image, scikit-learn, shapely, tqdm"
apacha/OMR-Datasets,"lxml, mung, numpy, pillow, scikit-image, tqdm"
idiap/importance-sampling,"blinker, keras, numpy"
godatadriven/evol,multiprocess
jlsuarezdiaz/pyDML,"cython, numpy, pandas, scikit-learn, scipy, seaborn"
roscisz/TensorHive,"alembic, bcrypt, certifi, cffi, chardet, click, coloredlogs, connexion, cryptography, flask, flask-jwt-extended, gevent, greenlet, gunicorn, humanfriendly, idna, itsdangerous, jinja2, jsonschema, markupsafe, paramiko, pycparser, pyjwt, python-dateutil, python-editor, pyyaml, requests, six, sqlalchemy, sqlalchemy-utils, swagger-ui-bundle, urllib3, werkzeug, zope-interface"
naitoh/py2rb,"numpy, pyyaml"
sparklingpandas/sparklingml,"future, nltk, numpy, pandas, pyarrow, pyspark, spacy"
ubisoft/vulnmine,"fuzzywuzzy, numpy, pandas, python-levenshtein, requests, schedule, scikit-learn, scipy, sympy, xmltodict, yapsy"
wweir827/CHAMP,"future, h5py, leidenalg, numpy, scikit-learn, scipy, seaborn, tqdm"
abinashmeher999/voice-data-extract,"imageio, moviepy, mutagen, pysrt, six"
fizyr/keras-retinanet,"cython, numpy, opencv-python, pillow, six"
NifTK/NiftyNet,"blinker, configparser, nibabel, numpy, packaging, pandas, pillow, scipy, six"
math-a3k/django-ai,"bayespy, numpy"
jaybutera/tetrisRL,"numpy, torch"
gmiaslab/ClassificaIO,"numpy, pandas, pillow, scikit-learn, scipy"
broadinstitute/adapt,"numpy, scipy, tensorflow"
materialsvirtuallab/veidt,"h5py, joblib, keras, monty, numpy, pandas, pymatgen, scikit-learn, scipy, tensorflow"
chatopera/Synonyms,"jieba, numpy, scikit-learn, scipy, six"
huggingface/torchMoji,"emoji, numpy, scikit-learn, scipy"
scikit-hep/uproot3,numpy
kk7nc/HDLTex,"keras, nltk, numpy, pandas, scikit-learn, scipy, tensorflow"
quantrocket-llc/moonshot,"filelock, pandas"
google/microscopeimagequality,"click, imagecodecs, nose, numpy, pillow, scikit-image, scipy, six, tensorflow"
jtoy/sensenet,"numpy, pybullet, requests, six"
axi345/ai-learn,"bs4, keras, numpy, pandas, requests, scipy, sklearn"
leferrad/pyoselm,"numpy, scikit-learn, scipy"
statechular11/resnet,keras
kidzik/event-detector,"h5py, keras, numpy, tensorflow"
IINemo/active_learning_toolbox,"annoy, cython, ipywidgets, numpy, pandas, pillow, scikit-learn, scipy"
