full_name,included_libraries
BioinfoMachineLearning/DeepRefine,"absl-py, axial-positional-embedding, biopandas, deepspeed, dill, docker, einops, fairscale, matplotlib, pdb-tools, plotly, pynvml, pytorch-lightning, setuptools, torchmetrics, tqdm, wandb"
vbelis/latent-ad-qml,"h5py, joblib, matplotlib, mplhep, numpy, pandas, pylatexenc, qibo, qiskit, qiskit-aer, qiskit-ignis, qiskit-terra, scikit-learn, scipy, tensorflow"
Plexflo/plexflo,"matplotlib, numpy, openpyxl, pandas, pathlib, scipy, sklearn"
lucidrains/parti-pytorch,"einops, torch, torchvision, transformers, vector-quantize-pytorch"
torcheeg/torcheeg,"numpy, pandas, tqdm, xlrd"
oxwhirl/smacv2,"absl-py, numpy, pygame"
HaSai666/rec_pangu,"faiss-cpu, loguru, numpy, pandas, pygments, scikit-learn, torch, tqdm, wandb"
SysCV/shift-dev,"h5py, matplotlib, numpy, pillow, pycocotools"
mlpc-ucsd/BoundaryFormer,"cloudpickle, future, matplotlib, pillow, pycocotools, pydot, tabulate, tensorboard, termcolor, tqdm, yacs"
lucidrains/VN-transformer,"einops, torch"
netsharecmu/NetShare,"annoy, gdown, gensim, ipyplot, jupyterlab, matplotlib, more-itertools, networkx, notebook, pandas, pyshark, ray, scikit-learn, statsmodels, tensorboard, torch, tqdm"
kc-ml2/meent,"numpy, scipy"
osgeonepal/geotile,"gdal, geopandas, numpy, rasterio"
Felix-Petersen/difftopk,"numpy, torch"
liuzuxin/cvpo-safe-rl,numpy
Computer-Vision-in-the-Wild/Elevater_Toolkit_IC,"numpy, pillow, pyyaml, scikit-learn, timm, torch, torchvision, tqdm, transformers, vision-datasets, vision-evaluation, yacs"
paletteml/mlsync,"inquirer, notion-client, python-dotenv, pyyaml, requests"
UMCUtrecht-ECGxAI/ecgxai,"numpy, pandas, pytorch-lightning, scikit-learn, scipy, torch, torchmetrics, tqdm"
huaxiuyao/Wild-Time,"gdown, ipdb, lightly, matplotlib, numpy, pandas, pillow, pytdc, pytorch-lightning, pytorch-tabular, scikit-learn, torchmetrics, torchvision, transformers, wilds"
fhirpack/fhirpack,"authlib, fhirpy, matplotlib, numpy, pandas, pyjwt, pytest, requests, toml, tqdm"
facebookresearch/video-distant-supervision,"av, matplotlib, opencv-python, pandas, pyyaml, simplejson, sklearn, tensorboard, termcolor, torchvision, tqdm, yacs"
ml-jku/hyper-dti,"pytdc, rdkit, scikit-learn, torch, wandb"
shwoo93/MinkowskiEngine,"numpy, torch"
google-deepmind/tell_me_why_explanations_rl,"absl-py, numpy"
cakcora/chartalist,"numpy, ogb, outdated, pandas, pillow, pytz, scikit-learn, scipy, torch, torchvision, tqdm"
maihao14/BlocklyEQTransformer,"h5py, ipywidgets, jupyter, keras, matplotlib, obspy, pandas, pytest, tensorflow, tqdm, voila"
zjukongming/TranSQ,"pytorch-lightning, torch"
BGU-CS-VIL/pdc-dp-means,"numpy, scikit-learn"
garcinc/noised-topk,"numpy, torch"
tinkoff-ai/exact,"numpy, scipy, torch"
clovaai/donut,"timm, transformers"
code-kern-ai/refinery,"gitpython, requests"
ymy-k/DPText-DETR,"cloudpickle, editdistance, matplotlib, numba, opencv-python, pillow, polygon3, rapidfuzz, scikit-image, shapely, tabulate, tensorboard, termcolor, tqdm, yacs"
ShishirPatil/poet,"graphviz, gurobipy, loguru, matplotlib, numpy, pandas, toposort"
om-ai-lab/VL-CheckList,"pillow, pyyaml, tqdm"
ericl122333/PatchDiffusion-Pytorch,"blobfile, torch, tqdm"
PJLallen/OSFormer,"cloudpickle, kornia, matplotlib, opencv-python, pillow, polygon3, python-levenshtein, setuptools, shapely, tabulate, tensorboard, termcolor, timm, tqdm, yacs"
THUMNLab/CurML,"numpy, scipy, torch, torchvision"
robcaulk/freqai,"arrow, blosc, cachetools, ccxt, colorama, jinja2, joblib, jsonschema, numpy, orjson, pandas, pandas-ta, prompt-toolkit, py-find-1st, pycoingecko, python-rapidjson, python-telegram-bot, questionary, requests, sqlalchemy, tables, tabulate, urllib3"
ajhamdi/mvtorch,"einops, h5py, imageio, matplotlib, metric-learn, numpy, pandas, ptflops, scipy, tensorboard, timm, trimesh"
matthias-wright/art-fid,"lpips, numpy, pillow, scikit-learn, scipy, torch, torchvision, tqdm"
ZGCTroy/ED-DPM,"blobfile, torch, tqdm"
Hejarshahabi/GeoPatch,"matplotlib, numpy, pandas, rasterio, scikit-learn, tqdm"
ltatzel/PyTorchHessianFree,torch
MLNeurosurg/deepglioma,"matplotlib, numpy, opencv-python, pandas, pip, pyyaml, scikit-image, scikit-learn, setuptools, tifffile, torch, torchvision, vit-pytorch"
li-lf/PyNOL,"cvxpy, matplotlib, numpy"
MKFMIKU/d2sm,"torch, torchvision"
maxjcohen/diffusion-bridges,torch
philschmid/deep-learning-remote-runner,"boto3, nanoid, scp"
prestodb/presto-query-predictor,"flask, joblib, numpy, pandas, pyyaml, scikit-learn, xgboost"
cusuh/CoGS,"numpy, torch, tqdm"
lchdl/DeepWMH,"imageio, matplotlib, numpy, openpyxl, reportlab, scikit-image, scipy, statsmodels, svglib, xlsxwriter"
reshalfahsi/separableconv-torch,"numpy, torch, torchvision"
remiMZ/HTS-ECCV22,"h5py, numpy, ordered-set, pillow, requests, torch, torchvision, tqdm"
GCS-ZHN/socube,"anndata, lapjv, matplotlib, numpy, pandas, scikit-learn, scipy, tables, torch, torchvision, tqdm, umap-learn"
OpenDriveLab/Birds-eye-view-Perception,"numpy, opencv-python"
hukkelas/deep_privacy2,"matplotlib, numpy, opencv-python, tensorboard, tqdm"
ruhyadi/yolo3d-lightning,"hydra-core, pytorch-lightning"
csteinmetz1/automix-toolkit,"auraloss, librosa, matplotlib, numpy, pedalboard, pyloudnorm, pytorch-lightning, scikit-learn, scipy, soundfile, tensorboard, torch, torchaudio, torchvision, tqdm"
facebookresearch/RCDM,"blobfile, faiss-gpu, numpy, torch, torchvision, tqdm"
rubenwiersma/pointcloud-differential,"numpy, scikit-learn"
Haiyang-W/RBGNet,"easydict, numba, numpy, pyyaml, scikit-image, tqdm"
quincylin1/futubot,"dash, dash-bootstrap-components, dash-core-components, numpy, pandas, plotly"
kiwi-lang/uetools,"appdirs, colorama, cookiecutter, gitpython, hjson, importlib-resources, tqdm"
WeltXing/SAGOD,"numpy, pyod, sklearn, torch, torch-geometric"
causal-machine-learning-lab/mliv,"argparse, cvxopt, numba, pillow"
bigcode-project/transformers,importlib-metadata
jxpress/lightning-hydra-template-vertex-ai,"hydra-core, pytorch-lightning"
spinthil/pycolormap-2d,"importlib-resources, nptyping, numpy"
Plato-solutions/artifician,"beautifulsoup4, nltk, pandas, rx, spacy"
lucidrains/make-a-video-pytorch,"einops, torch"
nerfstudio-project/nerfacc,"rich, torch"
lucidrains/phenaki-pytorch,"accelerate, beartype, einops, numpy, opencv-python, pillow, sentencepiece, torch, torchtyping, torchvision, tqdm, transformers, vector-quantize-pytorch"
facebookresearch/EditEval,"bert-score, cdifflib, datasets, nltk, numpy, sacrebleu, sacremoses, scipy, spacy, tensorflow, transformers"
locuslab/torchdeq,"numpy, torch"
arangoml/fastgraphml,"matplotlib, matplotlib-inline, numpy, python-arango, requests, seaborn, setuptools, sklearn, tqdm, umap-learn"
teddykoker/evidential-learning-pytorch,torch
cisco-open/ResponsibleAI,"adversarial-robustness-toolbox, aif360, fairlearn, nltk, numpy, pandas, python-dotenv, scikit-learn, sqlitedict, tensorflow, torch, torchmetrics, torchvision"
aidotse/PASEOS,"dotmap, loguru, matplotlib, numpy, pykep, skyfield, toml, tqdm, trimesh"
waldnerf/ai4boundaries,"bs4, pathlib, requests, tqdm"
GRAP-UdL-AT/Amodal_Fruit_Sizing,"cloudpickle, future, matplotlib, pillow, pydot, tabulate, tensorboard, termcolor, tqdm, yacs"
martinballa/PyTAG,"gdown, gymnasium, jpype1, numpy"
LinkAnJarad/global_local_attention_module_pytorch,torch
laihaoran/Semi-Supervised-nnUNet,"dicom2nifti, medpy, numpy, pandas, requests, scikit-image, scipy, simpleitk, sklearn, torch, tqdm"
gokul-pv/lightning-hydra-timm,"hydra-core, pytorch-lightning"
Novartis/MOBER,mlflow
QuantumMaterialsModelling/vasp-phonopy-sscha,"ase, numpy, pandas, phonopy, scipy"
stanfordmlgroup/ed-monitor-data,"matplotlib, numpy, pandas, pytorch-lightning, scikit-learn, torch, tqdm"
muellerzr/minimal-accelerate,"numpy, packaging, pyyaml, torch"
aliutkus/groupmap,torch
PLN-disca-iimas/text2graphapi,"emoji, flashtext, joblib, matplotlib, networkx, nltk, numpy, pandas, scipy, setuptools, spacy, sphinx"
facebookresearch/encodec,"einops, numpy, torch, torchaudio"
salesforce/logai,"attrs, cachetools, dataclasses, gensim, jinja2, matplotlib, nltk, numba, numpy, pandas, pyyaml, schema, scikit-learn, seaborn, spacy, tqdm"
dsymbol/decipher,"accelerate, ffutils, gradio, optimum, tqdm, transformers"
lucidrains/equiformer-pytorch,"beartype, einops, einx, filelock, opt-einsum, torch"
IllinoisGraphBenchmark/IGB-Datasets,numpy
alpa-projects/mms,"fastapi, matplotlib, numba, scipy, starlette, uvicorn"
hustvl/BoxTeacher,"cloudpickle, matplotlib, pillow, pycocotools, tabulate, tensorboard, termcolor, tqdm, yacs"
thieu1995/mafese,"kaleido, mealpy, numpy, pandas, permetrics, plotly, scikit-learn, scipy"
dlr-wf/crackpy,"matplotlib, numpy, opencv-python, pandas, pyvista, rich, scikit-image, scikit-learn, scipy, torch, torchvision"
QuKunLab/SPACEL,"gpytorch, numba, optax, pip, scikit-learn, scvi-tools, squidpy, torch"
microsoft/klite,"numpy, pillow, pyyaml, scikit-learn, timm, torch, torchvision, tqdm, transformers, vision-datasets, vision-evaluation, yacs"
Sapienza-University-Rome/FedArtML,"ipywidgets, keras, matplotlib, numpy, pandas, scipy, tensorflow"
Code-IA-Insights/Pandas_Market_Predictor,"numpy, pandas"
lojzezust/lars_evaluator,"numpy, opencv-python, pandas, pillow, tqdm, yacs"
cdiazruiz/ithaca365-devkit,"cachetools, importlib-metadata, matplotlib, numpy, opencv-python, pillow, scikit-learn, tqdm"
LingyiHongfd/lvos-evaluation,"networkx, numpy, opencv-python, pandas, pillow"
woodyx218/private_vision,"numpy, scipy, timm, torch, transformers"
haozhg/lmd,"datasets, pandas, torch, tqdm, transformers"
microsoft/torchscale,"einops, fairscale, timm, torch"
exorde-labs/exorde-client,"aiofiles, aiohttp, argostranslate, asyncio, eth-account, fasttext, fasttext-langdetect, feedparser, htmlparser, huggingface-hub, keybert, lxml, newspaper3k, nltk, numpy, packaging, pandas, python-dateutil, pytz, pyyaml, safetensors, spacy, tensorflow, tiktoken, torch, web3, yake"
IIIS-Li-Group/OpenFE,"lightgbm, numpy, pandas, pyarrow, scikit-learn, scipy, tqdm"
Felix-Petersen/difflogic,"numpy, torch"
sturdy-dev/semantic-code-search,"numpy, prompt-toolkit, pygments, setuptools, torch, tree-sitter, tree-sitter-builds, tree-sitter-languages"
CVMI-Lab/PLA,"easydict, numpy, pyyaml, tqdm"
opendilab/ACE,"click, cloudpickle, easydict, flask, gym, h5py, lz4, matplotlib, numpy, opencv-python, pyyaml, readerwriterlock, requests, responses, scipy, seaborn, six, sortedcontainers, tabulate, torch, urllib3"
adobe-research/convmelspec,"coremltools, librosa, numpy, onnx, onnxruntime, scipy, soundfile, torch, torchaudio"
joanrod/ocr-vqgan,"numpy, torch, tqdm"
FrancescoSaverioZuppichini/my-spaces,jinja2
yinjunbo/SSDA3D,"easydict, numba, numpy, pyyaml, scikit-image, tqdm"
ImIntheMiddle/VATL4Pose-WACV2024,"easydict, matplotlib, munkres, natsort, opencv-python, pyyaml, scipy, six, terminaltables, timm, torch, torchvision, tqdm, visdom"
Juzezhang/IKOL,"easydict, ffmpeg-python, future, h5py, matplotlib, numpy, opencv-python, pycocotools, pyyaml, scipy, six, smplx, tb-nightly, terminaltables, tqdm, visdom"
EdinburghNLP/torch-adaptive-imle,torch
wondergo2017/DHGAS,"gensim, jupyter, jupyterlab, matplotlib, prettytable, scikit-learn, tabulate, tensorboard"
niccolo246/Advanced_nnUNet,"dicom2nifti, matplotlib, medpy, numpy, pandas, requests, scikit-image, scipy, simpleitk, sklearn, tifffile, torch, tqdm"
CRANK-MS/CRANK-MS,"numpy, scikit-learn, torch, tqdm"
ear-team/bambird,"hdbscan, kneed, librosa, matplotlib, pyyaml, scikit-image, scikit-learn, tqdm, umap-learn"
IBM/composite-adv,"kornia, numpy, requests, torch, torchvision"
Ramprasad-Group/ML-DFT,"h5py, joblib, keras, matplotlib, pandas, pymatgen, scikit-learn, scipy, tensorflow"
ml4physics/cyjax,"chex, flax, jax, jaxlib, matplotlib, numpy, optax, sympy"
farm-gym/farm-gym,"gymnasium, matplotlib, mpld3, numpy, opencv-python, pandas, pillow, pyyaml, scipy, tensorboard"
srivastavaresearchgroup/SAIPy,"h5py, jupyter, keras, keyring, matplotlib, obspy, pandas, pytest, scikit-learn, scipy, seaborn, tensorflow, torch, tqdm"
Hongyu-yu/T-e3nn,"opt-einsum-fx, scipy, sympy, torch"
bharatadk/python_splitter,numpy
lucadellalib/bayestorch,torch
davidhalladay/ldm_layout,"numpy, torch"
PHOENIXcenter/deeprtalign,"pandas, xlrd"
edadaltocg/detectors,"accelerate, faiss-cpu, matplotlib, numpy, optuna, pandas, pillow, scikit-image, scikit-learn, scipy, timm, torch, torchvision, tqdm, wilds"
lucidrains/robotic-transformer-pytorch,"einops, torch"
huggingface/speechbox,torch
abess-team/skscope,"numpy, scikit-learn"
Koopman-Laboratory/KoopmanLab,"einops, h5py, matplotlib, numpy, scipy, timm, torch, torchvision"
brandontrabucco/da-fusion,"pandas, torch, torchvision"
gorodnitskiy/yet-another-lightning-hydra-template,"hydra-core, pytorch-lightning"
lucidrains/recurrent-interface-network-pytorch,"accelerate, beartype, einops, pillow, torch, torchvision, tqdm"
eric-ai-lab/PEViT,"numpy, pillow, pyyaml, scikit-learn, timm, torch, torchvision, tqdm, transformers, vision-datasets, vision-evaluation, yacs"
mhrice/RemFx,"asteroid, auraloss, einops, hydra-core, librosa, numba, numpy, pedalboard, pyloudnorm, pytorch-lightning, scipy, speechbrain, tensorflow, torch, torchaudio, torchcrepe, torchmetrics, torchvision, transformers, wandb"
tanyuqian/redco,"flax, jax, optax"
aim-qmul/sdx23-aimless,"pytorch-lightning, torch"
CederGroupHub/SynthesisSimilarity,"colorcet, gdown, matplotlib, pymatgen, regex, scikit-learn, seaborn, tensorflow"
htylab/tigerhx,"numpy, scipy"
BobMcDear/flaim,"flax, jax, jaxlib, numpy"
gagneurlab/spectralis,"click, editdistance, fastparquet, grpcio, h5py, networkx, numpy, pandas, pyteomics, scikit-learn, scipy, torch, tqdm"
zhangxinyu-xyz/ISE-ReID,"faiss-gpu, h5py, metric-learn, numpy, pillow, scikit-learn, scipy, six, torch, torchvision"
fferflo/cvgl_data,"ciso8601, docker, imageio, numpy, nuscenes-devkit, open3d, opencv-contrib-python, opencv-python, pandas, pyarrow, pyntcloud, pypeln, pyunpack, pyyaml, scikit-image, tqdm"
google-research/unified_functional_hashing,"absl-py, numpy, pytest, tensorflow"
wjbmattingly/vulgata-spacy,"annoy, gensim, jellyfish, pandas, spacy"
lucidrains/musiclm-pytorch,"accelerate, beartype, einops, torch, torchaudio, vector-quantize-pytorch"
lucidrains/muse-maskgit-pytorch,"accelerate, beartype, einops, pillow, sentencepiece, torch, torchvision, tqdm, transformers, vector-quantize-pytorch"
csteinmetz1/dasp-pytorch,"numpy, scipy, torch"
MadryLab/trak,"numpy, torch, tqdm"
facebookresearch/FFCV-SSL,"assertpy, fastargs, matplotlib, pandas, scikit-learn, scipy, submitit, terminaltables, torchmetrics, tqdm, webdataset"
Eaphan/GLENet,"easydict, numba, numpy, pyyaml, scikit-image, tqdm"
awslabs/slapo,packaging
Eaphan/Robust3DOD,"easydict, numba, numpy, pyyaml, scikit-image, tqdm"
lucidrains/zorro-pytorch,"beartype, einops, torch, torchaudio"
mindspore-lab/mindrl,"gym, matplotlib, numpy"
young-geng/mlxu,"absl-py, cloudpickle, numpy, wandb"
vqpy/vqpy,"cython-bbox, lap, loguru, numpy, openalpr, opencv-python, pandas, requests, scikit-learn, scipy, shapely, torch, torchvision, tqdm, yolox"
DavidLandup0/deepvision,"matplotlib, pytorch-lightning, scikit-learn, tensorflow, torch, torchmetrics"
Theia-4869/MahjongZero,"rlcard, torch"
TextToVideoAI/TextToVideoAI,"accelerate, beartype, einops, numpy, opencv-python, pillow, sentencepiece, torch, torchtyping, torchvision, tqdm, transformers, vector-quantize-pytorch"
cmudrc/MegaFlow2D,"h5py, numpy, ogb, outdated, pandas, pillow, pytz, scikit-learn, scipy, torch, torchvision, tqdm"
cyrusasfa/meso-dtfa,"fire, librosa, torch, tqdm"
RyanLucas3/HR_Neural_Networks,"cvxpy, mosek, numpy, torch"
hi-paris/XPER,"matplotlib, numpy, pandas, plotly, scikit-learn, scipy, seaborn, shap, statsmodels, tqdm, xgboost"
Simatwa/smartbetsAPI,appdirs
Yarroudh/SemanticML,"click, matplotlib, numpy, scikit-learn"
amckenna41/protPy,"numpy, pandas"
Music-Recommendation-Engine-Project/Music-Recommendation-Engine,"ipykernel, kneed, matplotlib, nbconvert, nbformat, numpy, pandas, polars, psycopg2, pyarrow, pylab-sdk, pyspark, pytest, pytest-timeout, pytest-xdist, python-dotenv, requests, scikit-learn, seaborn, tdqm, tensorflow, xgboost"
falcucci/dicomcrop,"cffi, cryptography, dicom2jpg, et-xmlfile, fire, numpy, opencv-python, openpyxl, pillow, pycparser, pydicom, pyjwt, pylibjpeg, pylibjpeg-openjpeg, six, termcolor"
rycolab/aflt-f2023,"dill, frozendict, frozenlist, nltk, numpy, ply, pytest, tqdm"
charleslf2/visionner,"matplotlib, numpy, opencv-python, rich"
lucidrains/lion-pytorch,torch
lucidrains/toolformer-pytorch,"beartype, einops, torch, tqdm"
shyamsn97/mario-gpt,"pillow, scipy, torch, tqdm, transformers"
MichalGeyer/plug-and-play,"numpy, torch, tqdm"
salesforce/PyRCA,"dill, jpype1, matplotlib, networkx, numpy, packaging, pandas, pyparsing, pyyaml, schema, scikit-learn, tqdm, wheel"
lucidrains/block-recurrent-transformer-pytorch,"beartype, einops, torch"
TorchOPC/TorchLitho,"hydra-core, lightning"
leekwoon/hrl-nav,"torch, torchvision"
AllanYangZhou/nfn,"einops, torch"
cskkxjk/MonoNeRD,"easydict, numba, numpy, pyyaml, spconv, torch"
facebookresearch/disentangling-correlated-factors,"numpy, torch, tqdm"
cosmoquester/memoria,torch
ScheiklP/sofa_env,"filelock, gymnasium, inputs, matplotlib, numba, numpy, open3d, opencv-python, pygame, pyglet, pyopengl, pytest, requests, scipy, sphinx, sphinx-autobuild, sphinx-rtd-theme, sphinx-tabs, tqdm"
SunYM2020/MoE-Fusion,"e2cnn, matplotlib, numpy, pillow, pycocotools, shapely, six, terminaltables, tqdm"
Woutah/pyside6-utils,"numpy, pandas, pathos, pyside6, setuptools"
lucidrains/autoregressive-linear-attention-cuda,torch
wyf0912/R2LCM,"matplotlib, numpy, scipy, torch, torchvision"
pyresearch/pyresearch,"numpy, opencv-python"
acmi-lab/RLSbench,"cvxopt, cvxpy, matplotlib, networkx, numpy, pandas, pillow, pytz, scikit-learn, scipy, torch, torchvision, tqdm, transformers"
rdkit/PREFER,"auto-sklearn, numpy, pandas, scikit-learn"
Efficient-Scalable-Machine-Learning/EvNN,torch
kornia/limbus,typeguard
nuhmanpk/Webtrench,"bs4, requests"
nimsos-dev/nimsos,"matplotlib, numpy, scikit-learn, scipy"
