full_name,included_libraries
USC-CSCI527-Spring2021/Phoenix,apache-beam
daveey/metta,"boto3, chex, conan, hydra-core, jmespath, matplotlib, numpy, pettingzoo, pynvml, pytest, pyyaml, raylib, rich, scipy, tabulate, tensordict, torchrl"
microsoft/RegionCLIP,"cloudpickle, future, matplotlib, pillow, pycocotools, pydot, tabulate, tensorboard, termcolor, tqdm, yacs"
SysCV/transfiner,"cloudpickle, future, matplotlib, pillow, pycocotools, pydot, tabulate, tensorboard, termcolor, tqdm, yacs"
QUVA-Lab/escnn,"joblib, lie-learn, numpy, pymanopt, scipy, torch"
showlab/all-in-one,"pytorch-lightning, torch"
skyhehe123/VoxSeT,"easydict, numba, numpy, pyyaml, scikit-image, tqdm"
abhiTronix/deffcode,"numpy, requests, tqdm"
hilo-mpc/hilo-mpc,"numpy, prettytable, scipy"
minimaxir/imgbeddings,"onnxruntime, pillow, scikit-learn, tqdm, transformers"
ChungYi347/Interactive-Multi-Class-Tiny-Object-Detection,"matplotlib, numpy, pycocotools, six, terminaltables"
brentspell/torch-yin,"numpy, torch"
csuhan/opendet2,"opencv-python, timm"
yoonkicho/PPLR,"faiss-gpu, h5py, metric-learn, numpy, pillow, scikit-learn, scipy, six, torch, torchvision"
Vibashan/irg-sfda,"cloudpickle, future, matplotlib, pillow, pycocotools, pydot, tabulate, tensorboard, termcolor, tqdm, yacs"
lenscloth/GRPE,"ogb, rdkit-pypi"
hustvl/AziNorm,"easydict, numba, numpy, pyyaml, spconv, torch"
BirchKwok/spinesTS,"matplotlib, numpy, pandas, scikit-learn, scipy, tabulate, torch"
eladb3/ORViT,"av, matplotlib, opencv-python, pandas, pyyaml, simplejson, sklearn, tensorboard, termcolor, torchvision, tqdm, yacs"
dschinagl/occam,"easydict, numba, numpy, pyyaml, scikit-image, tqdm"
DeepSportradar/player-reidentification-challenge,"h5py, metric-learn, numpy, pillow, scikit-learn, scipy, six, torch, torchvision"
marrlab/SHAPR_torch,"imageio, pytorch-lightning, scikit-image, scikit-learn, tensorflow, torch, torchvision"
KAIST-Visual-AI-Group/PartGlot,"h5py, hydra-core, matplotlib, nltk, numpy, pandas, pillow, pytorch-lightning, rich, six, torch"
SuHoHan95/VISOLO,"cloudpickle, future, matplotlib, pillow, pycocotools, pydot, tabulate, tensorboard, termcolor, tqdm, yacs"
XuYunqiu/H2FA_R-CNN,"cloudpickle, future, matplotlib, mock, pillow, pycocotools, pydot, tabulate, tensorboard, termcolor, tqdm, yacs"
tiger2017/MLclf,"numpy, torch, torchvision"
uark-cviu/DirecFormer,"av, matplotlib, opencv-python, pandas, pillow, pyyaml, simplejson, sklearn, tensorboard, termcolor, torchvision, tqdm, yacs"
jxhuang0508/CaCo,"cffi, easydict, future, matplotlib, pyyaml, scikit-image, scipy, setuptools, tqdm"
irecsys/DeepCARSKit,"colorama, numpy, pandas, pyyaml, scikit-learn, scipy, tensorboard, torch, tqdm"
tqxli/dannce-pytorch,"attr, attrs, imageio, imageio-ffmpeg, matplotlib, multiprocess, numpy, opencv-python, pyyaml, scikit-image, six, tensorboard, tqdm"
haofanwang/visbeat3,"bs4, imageio, imageio-ffmpeg, librosa, matplotlib, moviepy, numpy, opencv-python, requests, scipy, termcolor"
Raijeku/qmeans,"numpy, pandas, pytest, qiskit, qiskit-aer, qiskit-ibm-runtime, scikit-learn, setuptools, sphinx, sphinx-rtd-theme, sphinxcontrib-napoleon, twine, wheel"
mohdsaqibhbi/easy_images,"beautifulsoup4, opencv-python, requests, selenium, tabulate, tqdm, webdriver-manager"
mattiasarro/confr,"aiocontextvars, pyyaml"
etri-edgeai/nn-multiscaling,numpy
xyxingx/Point-Cloud-Color-Constancy,"plyfile, torch, tqdm"
daniel-mohedano/scikit-qlearn,"matplotlib, numpy, pytest, qiskit"
muzairkhattak/OD-Satellite-iSAID,"cloudpickle, future, matplotlib, pillow, pycocotools, pydot, tabulate, tensorboard, termcolor, tqdm, yacs"
lucidrains/PaLM-pytorch,"einops, torch"
mlpc-ucsd/TESTR,"cloudpickle, editdistance, matplotlib, numba, opencv-python, pillow, polygon3, rapidfuzz, scikit-image, shapely, tabulate, tensorboard, termcolor, tqdm, yacs"
coperception/coperception,"matplotlib, numba, numpy, nuscenes-devkit, opencv-python, seaborn, shapely, terminaltables, torch, torchvision, typing"
markomih/COAP,"numpy, scikit-image, smplx, torch, trimesh"
aGIToz/PyInpaint,"matplotlib, numpy, scikit-image, scipy, tqdm"
prannaykaul/lvc,"cloudpickle, future, matplotlib, mock, pillow, pycocotools, pydot, tabulate, tensorboard, termcolor, tqdm, yacs"
rakhimovv/npbgpp,"hydra-core, lpips, matplotlib, opencv-python, plotly, pytorch-lightning, scipy, tabulate, tensorboard, timm, torch, torch-scatter, torchvision, trimesh"
nasaharvest/openmapflow,"numpy, pandas, pyyaml, requests, tqdm"
hi-paris/deepdespeckling,"numpy, opencv-python, pillow, scipy, torch, tqdm"
atomistic-machine-learning/schnetpack-gschnet,"ase, h5py, hydra-colorlog, hydra-core, numpy, pre-commit, pytorch-lightning, pyyaml, rdkit, tensorboard, torch, torchmetrics, tqdm"
uakarsh/latr,"pillow, sentencepiece, torch, torchvision, transformers"
hharcolezi/multi-freq-ldpy,"numba, numpy, xxhash"
Vibashan/online-da,"cloudpickle, future, matplotlib, pillow, pycocotools, pydot, tabulate, tensorboard, termcolor, tqdm, yacs"
jamesdolezal/biscuit,"click, numpy, pandas, scikit-misc, scipy, seaborn, sklearn, slideflow, tensorflow, tqdm"
cvlab-stonybrook/HandLer,"cloudpickle, future, matplotlib, pillow, pycocotools, pydot, tabulate, tensorboard, termcolor, tqdm, yacs"
chauncygu/Safe-Multi-Agent-Robosuite,"numba, numpy, scipy"
IBM/polymer_property_prediction,"numpy, pandas, rdkit-pypi"
valeoai/MuHDi,"cffi, easydict, future, pyyaml, scikit-image, scipy, setuptools, tqdm"
ssyc123/GSNet,"matplotlib, numpy, pycocotools, six, terminaltables"
lucidrains/imagen-pytorch,"accelerate, beartype, click, datasets, einops, fsspec, kornia, numpy, packaging, pillow, pydantic, pytorch-warmup, sentencepiece, torch, torchvision, tqdm, transformers"
koaning/bulk,"bokeh, jupyter-scatter, numpy, pandas, scikit-learn"
ml-jku/hopular,"fairscale, pandas, pytorch-lightning, scikit-learn"
mzjb/DeepH-pack,"numpy, scipy, torch, torch-geometric"
audiolabs/torch-pesq,"numpy, scipy, torch, torchaudio, torchtyping, typeguard"
microsoft/SparTA,"nni, pycuda"
thu-coai/DA-Transformer,cffi
dvlab-research/VFF,"easydict, numba, numpy, pyyaml, spconv, torch"
jd-opensource/TeD-Q,"ipywidgets, jax, jaxlib, jupyterlab, matplotlib, numpy, panel, ray, toolz, torch"
lucidrains/ddpm-ipa-protein-generation,"einops, torch"
ANSSI-FR/AnoMark,"certifi, numpy, pandas, python-dateutil, pytz, six, tqdm"
Orion-AI-Lab/wildfire_forecasting,"fastai, hydra-core, pytorch-lightning, torch, torchvision"
neulab/retomaton,"cffi, numpy, regex, sacrebleu, torch, tqdm"
IBM/inFairness,"numpy, pandas, pot, scikit-learn, scipy, torch"
France-Travail/gabarit,packaging
markdregan/FreqAI-Marcos-Lopez-De-Prado,"arrow, cachetools, ccxt, colorama, joblib, jsonschema, numpy, orjson, pandas, pandas-ta, prompt-toolkit, py-find-1st, pycoingecko, python-rapidjson, python-telegram-bot, questionary, requests, rich, sqlalchemy, tabulate, urllib3"
akmtn/OmniDreamer,"numpy, torch, tqdm"
dfki-ric/hand_embodiment,"numba, numpy, open3d, pandas, pytransform3d, pyyaml, scipy, tqdm"
logictensornetworks/LTNtorch,"numpy, torch"
niccolo246/Extended_nnUNet,"dicom2nifti, matplotlib, medpy, numpy, pandas, requests, scikit-image, scipy, simpleitk, sklearn, tifffile, torch, tqdm"
adamvvu/tsfracdiff,"arch, joblib, numpy, pandas"
ArielCyber/OSF-EIMTC,"click, gensim, librosa, networkx, nfstream, numpy, pandas, pillow, pyasn, pywavelets, runstats, scikit-learn"
wilhelm-lab/PROSPECT,"bs4, fastparquet, numpy, pandas, pyarrow, requests"
