LIBRARY,FREQUENCY
numpy,611
torch,587
tqdm,436
pandas,274
transformers,263
matplotlib,211
scipy,203
scikit-learn,200
einops,159
requests,150
torchvision,138
pillow,136
pyyaml,126
datasets,98
opencv-python,89
accelerate,79
tensorboard,75
nltk,69
cffi,66
regex,66
sentencepiece,65
pytorch-lightning,55
scikit-image,53
numba,52
spacy,51
pydantic,50
tabulate,50
hydra-core,47
seaborn,46
beartype,44
python-dotenv,43
setuptools,43
termcolor,43
yacs,42
click,41
sacrebleu,40
easydict,39
packaging,38
tiktoken,38
six,37
tensorflow,36
timm,36
wandb,36
pytest,35
rich,32
torchaudio,32
cloudpickle,30
sentence-transformers,30
joblib,29
pycocotools,29
huggingface-hub,28
tokenizers,28
h5py,26
networkx,26
beautifulsoup4,25
peft,25
openpyxl,23
future,22
langchain,22
sklearn,22
fastapi,21
loguru,21
plotly,21
jax,20
boto3,19
faiss-cpu,19
gensim,19
pydot,19
torchmetrics,19
uvicorn,19
colorama,18
jinja2,18
gdown,17
librosa,17
jieba,16
fire,15
flask,15
gym,15
httpx,15
pytz,15
typing-extensions,15
vector-quantize-pytorch,15
aiohttp,14
blobfile,14
dataclasses,14
diffusers,14
gitpython,14
python-dateutil,14
urllib3,14
gradio,13
ipython,13
lightning,13
lxml,13
prompt-toolkit,13
terminaltables,13
editdistance,12
ftfy,12
imageio,12
importlib-metadata,12
rdkit,12
tenacity,12
attrs,11
av,11
bitsandbytes,11
certifi,11
evaluate,11
filelock,11
prettytable,11
shapely,11
argparse,10
chromadb,10
flax,10
importlib-resources,10
jaxlib,10
onnxruntime,10
safetensors,10
soundfile,10
sqlitedict,10
streamlit,10
unidecode,10
wheel,10
absl-py,9
chardet,9
deepspeed,9
inflect,9
jupyterlab,9
moviepy,9
nest-asyncio,9
ninja,9
optax,9
pre-commit,9
pyarrow,9
torch-geometric,9
xlrd,9
dill,8
faiss-gpu,8
graphviz,8
ipywidgets,8
jupyter,8
kornia,8
lmdb,8
open3d,8
pip,8
python-levenshtein,8
seqeval,8
umap-learn,8
xgboost,8
flake8,7
fsspec,7
idna,7
keras,7
marshmallow,7
mlx,7
orjson,7
pydub,7
python-docx,7
rapidfuzz,7
sacremoses,7
selenium,7
simplejson,7
sqlalchemy,7
statsmodels,7
sympy,7
tifffile,7
trimesh,7
ase,6
biopython,6
bs4,6
coloredlogs,6
emoji,6
fairscale,6
fastparquet,6
ffmpeg-python,6
frozenlist,6
inquirer,6
metric-learn,6
mlflow,6
more-itertools,6
onnx,6
optimum,6
pycountry,6
pygame,6
pymatgen,6
pypdf,6
pytablewriter,6
pyzmq,6
ray,6
sphinx,6
supervision,6
torchinfo,6
torchtyping,6
tqdm-multiprocess,6
x-transformers,6
zstandard,6
aiosignal,5
appdirs,5
astropy,5
bert-score,5
cachetools,5
cohere,5
cryptography,5
cvxpy,5
docker,5
