total_index,keyword_source,full_name,html_url,create_date,update_date,pushed_date,language,stars,forks,watchers,open_issues,is_fork,topics,description
99,"""multimodal"" AND ""AI""",WW-Tong/Trajectroy_Prediction,https://github.com/WW-Tong/Trajectroy_Prediction,2022-04-29T12:37:34+00:00,2024-10-15T11:39:28+00:00,2022-06-03T00:22:14+00:00,Python,13,3,13,0,False,[],
100,"""multimodal"" AND ""AI""",HannahHaensen/pyfu,https://github.com/HannahHaensen/pyfu,2022-04-10T15:43:44+00:00,2025-02-18T16:34:36+00:00,2023-04-13T09:06:02+00:00,Python,12,1,12,0,False,"['camera', 'deep-learning', 'lidar', 'semantic-segmentation', 'sensor', 'sensor-fusion']",Deep Sensor Fusion with Pyramid Fusion Networks for 3D Semantic Segmentation
101,"""multimodal"" AND ""AI""",scutcyr/CPED,https://github.com/scutcyr/CPED,2022-05-29T07:53:29+00:00,2025-05-19T08:51:47+00:00,2022-11-10T15:18:23+00:00,Python,246,27,246,5,False,"['conversation', 'dataset', 'dialogue-systems', 'emotion-recognition', 'personality-recognition']",CPED: A Large-Scale Chinese Personalized and Emotional Dialogue Dataset for Conversational AI | 中文个性情感对话数据集
102,"""multimodal"" AND ""AI""",HuaizhengZhang/Active-Learning-as-a-Service,https://github.com/HuaizhengZhang/Active-Learning-as-a-Service,2022-05-15T08:35:12+00:00,2024-11-25T08:03:05+00:00,2024-07-08T18:05:34+00:00,Python,214,15,214,10,False,"['active-learning', 'mlsys', 'mlops', 'deep-learning', 'machine-learning', 'automl', 'pytorch']",A scalable & efficient active learning/data selection system for everyone.
103,"""multimodal"" AND ""AI""",ricfrr/mpuc-mer,https://github.com/ricfrr/mpuc-mer,2022-05-18T07:55:17+00:00,2025-05-20T20:32:22+00:00,2022-09-06T09:11:34+00:00,Python,20,3,20,3,False,[],official repository for the paper: Multimodal emotion recognition with modality-pairwise unsupervised contrastive loss
104,"""multimodal"" AND ""AI""",haha-lisa/MGAD-multimodal-guided-artwork-diffusion,https://github.com/haha-lisa/MGAD-multimodal-guided-artwork-diffusion,2022-06-30T00:40:35+00:00,2025-01-14T09:09:15+00:00,2024-04-08T02:23:53+00:00,Python,46,1,46,1,False,[],
105,"""multimodal"" AND ""AI""",pboutinaud/SHIVA_PVS,https://github.com/pboutinaud/SHIVA_PVS,2022-06-15T14:15:56+00:00,2025-03-06T22:34:20+00:00,2024-11-05T14:23:05+00:00,Python,27,10,27,0,False,[],Perivascular (PVS) or Virchow–Robin Spaces (VRS) segmentation with a 3D Unet
106,"""multimodal"" AND ""AI""",wanghaisheng/ocr-arxiv-daily,https://github.com/wanghaisheng/ocr-arxiv-daily,2022-06-23T07:48:00+00:00,2024-11-05T23:44:32+00:00,2023-06-07T21:52:57+00:00,Python,18,0,18,0,False,[],
107,"""multimodal"" AND ""AI""",riaz/CVPR-2022,https://github.com/riaz/CVPR-2022,2022-06-29T15:59:25+00:00,2025-05-01T23:26:50+00:00,2022-06-30T07:35:39+00:00,Python,15,1,15,0,False,[],"Papers and  Code from CVPR 2022, including scripts to extract them"
108,"""multimodal"" AND ""AI""",IntelLabs/ais-benchmarks,https://github.com/IntelLabs/ais-benchmarks,2022-06-03T22:43:27+00:00,2024-10-25T16:04:57+00:00,2024-10-25T16:04:52+00:00,Python,10,3,10,16,False,[],"A framework, based on python and numpy, for evaluation of sampling methods"
109,"""multimodal"" AND ""AI""",dhansmair/flamingo-mini,https://github.com/dhansmair/flamingo-mini,2022-07-29T18:05:30+00:00,2025-05-17T16:25:19+00:00,2023-04-27T21:22:12+00:00,Python,166,18,166,7,False,[],"Implementation of the deepmind Flamingo vision-language model, based on Hugging Face language models and ready for training"
110,"""multimodal"" AND ""AI""",LAION-AI/Big-Interleaved-Dataset,https://github.com/LAION-AI/Big-Interleaved-Dataset,2022-07-27T06:45:43+00:00,2025-05-17T16:25:18+00:00,2023-01-21T22:43:52+00:00,Python,56,8,56,15,False,[],Big-Interleaved-Dataset
