total_index,keyword_source,full_name,html_url,create_date,update_date,pushed_date,language,stars,forks,watchers,open_issues,is_fork,topics,description
82,"""quantum"" AND ""AI""",cedev935/Machine-Learning,https://github.com/cedev935/Machine-Learning,2023-09-03T16:11:55+00:00,2024-03-11T06:42:36+00:00,2023-09-03T16:25:19+00:00,Python,21,2,21,0,False,[],
83,"""quantum"" AND ""AI""",m-gallegos/SchNet4AIM,https://github.com/m-gallegos/SchNet4AIM,2023-10-02T16:43:41+00:00,2025-01-05T07:20:19+00:00,2024-03-13T12:42:00+00:00,Python,13,2,13,0,False,[],This repository gathers the SchNet4AIM code along with some instructions and readme files.
84,"""quantum"" AND ""AI""",RandomInternetPreson/LucidWebSearch,https://github.com/RandomInternetPreson/LucidWebSearch,2023-11-12T21:38:52+00:00,2025-03-12T11:06:45+00:00,2024-07-07T14:58:51+00:00,Python,74,8,74,10,False,[],A web search extension for Oobabooga's text-generation-webui (now with nougat)
85,"""quantum"" AND ""AI""",Fraunhofer-SCAI/llamol,https://github.com/Fraunhofer-SCAI/llamol,2023-11-28T09:50:31+00:00,2025-05-16T07:23:53+00:00,2024-06-25T08:41:53+00:00,Python,27,1,27,1,False,[],"Offical repository for the paper ""Llamol: a dynamic multi-conditional generative transformer for de novo molecular design"" (https://doi.org/10.1186/s13321-024-00863-8)"
86,"""quantum"" AND ""AI""",YiQi0318/LLMs_daily_arxiv,https://github.com/YiQi0318/LLMs_daily_arxiv,2023-11-28T11:15:47+00:00,2025-05-20T20:26:04+00:00,2024-07-25T08:14:14+00:00,Python,12,1,12,0,False,[],
87,"""quantum"" AND ""AI""",SciPhi-AI/agent-search,https://github.com/SciPhi-AI/agent-search,2023-12-11T17:41:03+00:00,2025-06-01T20:06:36+00:00,2024-04-22T20:54:17+00:00,Python,487,46,487,4,False,"['artificial-intelligence', 'information-retrieval', 'llms', 'rag', 'retrieval-augmented-generation', 'search', 'search-engine']",AgentSearch is a framework for powering search agents and enabling customizable local search.
88,"""quantum"" AND ""AI""",liqtags/crypto-rekts,https://github.com/liqtags/crypto-rekts,2023-12-28T23:48:34+00:00,2025-05-24T00:27:00+00:00,2023-12-29T03:24:15+00:00,Python,20,5,20,0,False,"['crypto', 'rekts', 'python', 'rektdb', 'crypto-rekts', 'cryptocurrency']",A Knowledgebase About Crypto Rekts
89,"""quantum"" AND ""AI""",k0yt/Awesome-InfoSec-TG-channels,https://github.com/k0yt/Awesome-InfoSec-TG-channels,2024-02-09T02:16:43+00:00,2025-03-14T21:20:39+00:00,2024-10-30T13:16:45+00:00,Python,31,2,31,0,False,[],"For the most part, these are RUS tg channels and assembled manually in channels.txt. The list of subscribers is updated every 12 hours. "
90,"""quantum"" AND ""AI""",StuartRiffle/inference-providers,https://github.com/StuartRiffle/inference-providers,2024-02-10T20:53:08+00:00,2025-05-31T05:35:11+00:00,2024-03-14T07:19:10+00:00,Python,10,0,10,2,False,[],"A collection of commercial LLM inference providers and their available models, to allow for automatic configuration"
91,"""quantum"" AND ""AI""",ManiMozaffar/aioclock,https://github.com/ManiMozaffar/aioclock,2024-03-31T08:35:47+00:00,2025-05-22T17:21:34+00:00,2024-10-04T19:42:25+00:00,Python,181,9,181,2,False,"['async', 'asynchronous', 'asyncio', 'pydantic', 'pydantic-v2', 'python', 'rocketry', 'scheduler', 'scheduling', 'apscheduler', 'celery', 'cron', 'cronjob', 'crontab']",A modern python scheduling framework with dependency injection and modular integration support. Alternative for Rocketry or apscheduler
92,"""quantum"" AND ""AI""",SMU-CATCO/SmartCADD,https://github.com/SMU-CATCO/SmartCADD,2024-03-22T19:13:49+00:00,2024-12-08T14:12:08+00:00,2025-01-16T17:05:55+00:00,Python,30,9,30,0,False,[]," SmartCADD is an open-source virtual screening platform that combines deep learning, computer-aided drug design (CADD), and quantum mechanics methodologies within a user-friendly Python framework."
93,"""quantum"" AND ""AI""",luhuadong/awesome-rt-thread,https://github.com/luhuadong/awesome-rt-thread,2024-03-19T09:55:08+00:00,2025-05-05T14:26:42+00:00,2024-05-13T18:41:34+00:00,Python,19,1,19,0,False,"['awesome', 'embedded', 'iot', 'rtos', 'mcu', 'rt-thread', 'awesome-list']",🚀 A curated list of awesome RT-Thread projects and resources.
94,"""quantum"" AND ""AI""",PacktPublishing/Dancing-with-Qubits-2E,https://github.com/PacktPublishing/Dancing-with-Qubits-2E,2024-03-18T11:11:04+00:00,2025-04-19T17:21:49+00:00,2024-03-28T07:54:26+00:00,Python,13,1,13,0,False,[],"Code Repository for Dancing-with-Qubits-2E, Published by Packt"
95,"""quantum"" AND ""AI""",alvin-r/databonsai,https://github.com/alvin-r/databonsai,2024-04-05T20:10:05+00:00,2025-05-29T12:55:36+00:00,2024-06-26T00:18:08+00:00,Python,492,23,492,3,False,[],clean & curate your data with LLMs.
96,"""quantum"" AND ""AI""",Antoine-Villiere/JacQues,https://github.com/Antoine-Villiere/JacQues,2024-04-30T05:57:03+00:00,2025-01-21T03:24:22+00:00,2024-09-03T16:27:34+00:00,Python,22,0,22,0,False,[],JacQues is a Dash-based interactive web application that facilitates real-time chat and document management.
97,"""quantum"" AND ""AI""",Taludas/Anno2205-NewFrontiers,https://github.com/Taludas/Anno2205-NewFrontiers,2024-04-22T10:04:09+00:00,2025-05-24T01:22:17+00:00,2024-12-07T15:43:33+00:00,Python,17,1,17,1,False,[],In this repo you can find my Modification Anno 2205 New Frontiers
98,"""quantum"" AND ""AI""",philippe-page/taskflowai,https://github.com/philippe-page/taskflowai,2024-07-08T22:27:19+00:00,2025-05-07T15:13:16+00:00,2024-12-25T10:59:30+00:00,Python,96,10,96,0,False,[],TaskFlowAI is a lightweight and flexible framework designed for creating AI-driven task pipelines and multi-agent workflows. It provides developers with a streamlined approach to building agentic systems
99,"""quantum"" AND ""AI""",KOSASIH/GalacticNexus-Core,https://github.com/KOSASIH/GalacticNexus-Core,2024-07-05T13:23:17+00:00,2025-05-25T09:40:44+00:00,2024-10-21T03:49:04+00:00,Python,25,6,25,6,False,"['blockchain', 'blockchain-technology', 'finance', 'finance-technology', 'quantum-computing', 'quantum-finance', 'artificial-intelligence']","A decentralized, AI-powered, quantum-encrypted, and neuro-interfaced financial technology platform unifying the cosmos of finance through blockchain, artificial intelligence, quantum computing, and neuroscience."
100,"""quantum"" AND ""AI""",RandomInternetPreson/Lucid_Autonomy,https://github.com/RandomInternetPreson/Lucid_Autonomy,2024-08-13T23:05:52+00:00,2025-04-28T03:35:31+00:00,2024-10-22T17:01:06+00:00,Python,120,1,120,1,False,[],"An extension that lets the AI take the wheel, allowing it to use the mouse and keyboard, recognize UI elements, and prompt itself :3...now also act as a research assistant"
101,"""quantum"" AND ""AI""",jgravelle/Grompt,https://github.com/jgravelle/Grompt,2024-08-19T22:28:46+00:00,2025-04-09T00:07:19+00:00,2024-12-09T22:05:32+00:00,Python,49,21,49,1,False,"['chrome', 'extension', 'google', 'plugin', 'prompt', 'prompt-engineering']",Grompt is a Python utility that uses the Groq LLM provider service to instantly refactor amazingly detailed and effective prompts. It's designed to optimize user prompts for better results when working with large language models.
102,"""quantum"" AND ""AI""",KoljaB/ai_cli_tools,https://github.com/KoljaB/ai_cli_tools,2024-08-30T08:27:12+00:00,2025-04-16T14:11:06+00:00,2024-09-02T14:20:18+00:00,Python,17,1,17,0,False,"['cli', 'llm', 'llm-inference', 'speech-to-text', 'text-to-speech']","AI at your fingertips: powerful CLI tools for speech, text, and language processing"
