total_index,keyword_source,full_name,html_url,create_date,update_date,pushed_date,language,stars,forks,watchers,open_issues,is_fork,topics,description
191,"""generative AI""",ryanadoty/Amazon-Bedrock-Amazon-RDS-POC,https://github.com/ryanadoty/Amazon-Bedrock-Amazon-RDS-POC,2023-10-12T12:05:37+00:00,2024-11-20T03:43:18+00:00,2024-06-18T01:26:27+00:00,Python,12,2,12,11,False,[],"This is sample code demonstrating the use of Amazon Bedrock and Generative AI to use natural language questions to query relational data stores, specifically Amazon RDS."
192,"""generative AI""",gathnexadmin/Linkedin_Automation_with_Generative_AI,https://github.com/gathnexadmin/Linkedin_Automation_with_Generative_AI,2023-10-22T07:25:21+00:00,2025-04-01T06:57:40+00:00,2023-11-14T10:55:28+00:00,Python,11,9,11,0,False,"['ai', 'automation', 'generative-ai', 'linkedin']",Generative AI linkedin automation system
193,"""generative AI""",aws-samples/generative-ai-to-build-a-devsecops-chatbot,https://github.com/aws-samples/generative-ai-to-build-a-devsecops-chatbot,2023-10-30T21:39:24+00:00,2025-01-16T12:13:33+00:00,2024-11-05T17:03:55+00:00,Python,11,6,11,2,False,[],
194,"""generative AI""",ryanadoty/Amazon-Bedrock-Document-Comparison-POC,https://github.com/ryanadoty/Amazon-Bedrock-Document-Comparison-POC,2023-10-18T18:19:27+00:00,2025-04-29T21:37:19+00:00,2024-11-04T15:48:33+00:00,Python,11,4,11,2,False,[],This is sample code demonstrating the use of Amazon Bedrock and Generative AI to implement a document comparison use case. The application is constructed with a simple streamlit frontend where users can upload 2 versions of a document and get all changes between documents listed.
195,"""generative AI""",R1ngZer0/Packt-Conferences-Put-GenAI-to-Work,https://github.com/R1ngZer0/Packt-Conferences-Put-GenAI-to-Work,2023-10-12T01:44:23+00:00,2025-03-11T03:03:58+00:00,2023-10-12T15:33:09+00:00,Python,11,1,11,0,False,[],
196,"""generative AI""",chawins/llm-sp,https://github.com/chawins/llm-sp,2023-11-15T18:52:11+00:00,2025-05-19T08:46:53+00:00,2024-11-27T16:06:26+00:00,Python,502,36,502,0,False,"['adversarial-machine-learning', 'awesome-list', 'llm', 'llm-privacy', 'llm-security', 'privacy', 'security']",Papers and resources related to the security and privacy of LLMs 🤖
197,"""generative AI""",genforce/freecontrol,https://github.com/genforce/freecontrol,2023-11-27T23:42:07+00:00,2025-05-17T16:34:20+00:00,2024-10-21T08:45:56+00:00,Python,466,15,466,3,False,[],"Official implementation of CVPR 2024 paper: ""FreeControl: Training-Free Spatial Control of Any Text-to-Image Diffusion Model with Any Condition"""
198,"""generative AI""",ivnvxd/hack-interview,https://github.com/ivnvxd/hack-interview,2023-11-15T15:40:47+00:00,2025-05-22T06:53:49+00:00,2024-09-07T19:38:59+00:00,Python,248,36,248,9,False,"['chatgpt', 'hack', 'interview', 'openai', 'pysimplegui', 'python', 'sounddevice', 'whisper', 'hacktoberfest']",AI-powered tool for real-time interview question transcription and response generation.
199,"""generative AI""",huggingface/diffusion-fast,https://github.com/huggingface/diffusion-fast,2023-11-29T03:09:59+00:00,2025-05-21T07:09:03+00:00,2024-10-08T20:16:30+00:00,Python,213,15,213,0,False,"['diffusers', 'diffusion-models', 'pytorch', 'sdxl', 'text-to-image-generation']",Faster generation with text-to-image diffusion models.
200,"""generative AI""",LyzrCore/lyzr,https://github.com/LyzrCore/lyzr,2023-11-26T16:43:57+00:00,2025-05-16T16:35:37+00:00,2024-12-11T16:21:09+00:00,Python,178,18,178,12,False,"['aiagent', 'chatbot', 'data-analysis', 'enterprise', 'genai', 'rag', 'voicebot']",Lyzr SDKs help you to build all your favorite GenAI SaaS products as enterprise applications in minutes.
201,"""generative AI""",robocorp/llmstatemachine,https://github.com/robocorp/llmstatemachine,2023-11-17T17:37:08+00:00,2025-04-14T08:30:43+00:00,2024-01-02T16:32:58+00:00,Python,65,5,65,1,False,"['agent', 'genai', 'openai', 'python', 'statemachine', 'ai']",A Python library for building GPT-powered agents with state machine logic and chat history memory.
202,"""generative AI""",michelderu/build-your-own-rag-chatbot,https://github.com/michelderu/build-your-own-rag-chatbot,2023-11-20T19:44:24+00:00,2025-04-29T18:07:48+00:00,2024-02-27T15:03:04+00:00,Python,58,47,58,1,False,"['astradb', 'datastax', 'langchain', 'openai', 'streamlit']",Workshop to build and deploy your own Chat Agent using Retrieval Augmented Generation with Astra DB
203,"""generative AI""",LexiestLeszek/namegen,https://github.com/LexiestLeszek/namegen,2023-11-15T17:01:41+00:00,2025-01-31T18:35:55+00:00,2024-02-27T16:27:22+00:00,Python,50,7,50,0,False,"['language-model', 'machine-learning', 'natural-language-processing', 'nlp', 'name-generation', 'markov-chain']","Self-contained, minimalistic implementation of a language model that generates coherent and normal sounding names. It uses an input dataset of names and probability distribution to generate new names based on the sequences of four characters."
204,"""generative AI""",aws-samples/personalized-travel-itinerary-planner,https://github.com/aws-samples/personalized-travel-itinerary-planner,2023-11-14T19:21:11+00:00,2025-05-12T13:54:22+00:00,2024-11-25T13:33:51+00:00,Python,49,12,49,2,False,"['bedrock', 'claude2', 'redshift', 'redshift-serverless']",A Generative AI Chatbot application to provide personalized travel recommendations using Amazon Redshift and Amazon Bedrock
205,"""generative AI""",dubverse-ai/rvc-data-prep,https://github.com/dubverse-ai/rvc-data-prep,2023-11-13T09:05:17+00:00,2025-04-21T03:45:54+00:00,2023-11-28T15:03:17+00:00,Python,46,2,46,1,False,[],extract and isolate vocals from media files. supports multispeaker media as well.
206,"""generative AI""",ranfysvalle02/Interactive-RAG,https://github.com/ranfysvalle02/Interactive-RAG,2023-11-19T12:10:03+00:00,2025-05-08T05:55:38+00:00,2024-02-26T18:06:45+00:00,Python,34,12,34,5,False,"['mongodb', 'mongodb-atlas-search', 'playwright-python', 'python', 'python-3', 'python3', 'selenium-python', 'vector', 'azure-openai', 'embeddings', 'genai', 'genai-chatbot', 'gpt4all', 'langchain-python', 'openai', 'rag', 'retrieval-augmented-generation']","Using MongoDB Atlas + ActionWeaver, we can build a user proxy agent that efficiently retrieves and ingests relevant information.  This agent presents the data to the user in an interactive and customizable manner, enhancing the overall user experience. "
207,"""generative AI""",allisonmorrell/gptbuilder,https://github.com/allisonmorrell/gptbuilder,2023-11-15T01:41:42+00:00,2024-07-08T02:58:44+00:00,2024-01-29T21:46:23+00:00,Python,33,2,33,15,False,[],"Repository of my thoughts on creating GPTs, and instructions and files for Better GPT Builder"
208,"""generative AI""",microsoft/contoso-support-pf-demo,https://github.com/microsoft/contoso-support-pf-demo,2023-11-09T18:32:19+00:00,2024-11-15T09:18:53+00:00,2023-12-05T14:36:08+00:00,Python,31,18,31,2,False,[],Code for MS Ignite 2023 | Live Breakout Session | BRK203
209,"""generative AI""",LinkedInLearning/learning-amazon-bedrock-3819146,https://github.com/LinkedInLearning/learning-amazon-bedrock-3819146,2023-11-17T22:50:12+00:00,2025-05-21T15:14:38+00:00,2024-03-29T17:29:47+00:00,Python,27,61,27,0,False,[],this repo is for linkedin learning course: Learning Amazon Bedrock
