total_index,keyword_source,full_name,html_url,create_date,update_date,pushed_date,language,stars,forks,watchers,open_issues,is_fork,topics,description
0,"""symbolic AI""",linminhtoo/neuralsym,https://github.com/linminhtoo/neuralsym,2021-02-07T21:45:51+00:00,2025-03-24T12:29:31+00:00,2022-09-01T04:31:12+00:00,Python,32,7,32,1,False,[],Reimplementation of Segler et al's Template Relevance Network (NeuralSym) in their seminal Nature publication
1,"""symbolic AI""",JackHCC/Arxiv-NLP-Reporter,https://github.com/JackHCC/Arxiv-NLP-Reporter,2022-01-14T05:02:09+00:00,2025-03-14T04:46:26+00:00,2022-04-12T12:01:01+00:00,Python,19,3,19,0,False,"['nlp', 'arxiv', 'automation']",每日自动获取Arxiv上NLP相关最新论文【Arxiv Natural Language Processing Paper Automatic Crawl Daily】
2,"""symbolic AI""",Maxwe11y/SKIER,https://github.com/Maxwe11y/SKIER,2022-07-16T23:18:39+00:00,2024-03-18T05:55:13+00:00,2023-07-13T15:06:35+00:00,Python,10,2,10,2,False,[],Code for Conversational Emotion Detection with Symbolic AI Integrated
3,"""symbolic AI""",KSB21ST/MINI-ARC,https://github.com/KSB21ST/MINI-ARC,2022-12-05T16:40:08+00:00,2025-04-23T02:24:00+00:00,2024-02-25T18:43:01+00:00,Python,33,5,33,1,False,[],
4,"""symbolic AI""",Jaraxxus-Me/LogiCity,https://github.com/Jaraxxus-Me/LogiCity,2023-09-12T13:42:19+00:00,2025-04-01T16:03:34+00:00,2024-11-12T01:48:39+00:00,Python,22,3,22,1,False,"['logic-programming', 'planning', 'reasoning', 'reinforcement-learning-environments']","LogiCity@NeurIPS'24, D&B track. A multi-agent inductive learning environment for ""abstractions""."
