total_index,keyword_source,full_name,html_url,create_date,update_date,pushed_date,language,stars,forks,watchers,open_issues,is_fork,topics,description
0,"""responsible AI""",fraunhoferportugal/tsfel,https://github.com/fraunhoferportugal/tsfel,2019-01-09T16:41:30+00:00,2025-05-18T03:17:19+00:00,2024-10-17T08:47:41+00:00,Python,1009,155,1009,13,False,"['feature-extraction', 'classification', 'time-series', 'colab-notebook', 'data-science', 'feature-engineering']",An intuitive library to extract features from time series.
1,"""responsible AI""",gyunggyung/AGI-Papers,https://github.com/gyunggyung/AGI-Papers,2019-12-10T07:25:25+00:00,2025-04-23T19:36:36+00:00,2024-09-21T00:00:14+00:00,Python,283,44,283,3,False,"['nlg', 'llm', 'nlp', 'dialogue', 'sentence-similarity', 'efficient', 'distillation', 'multimodal', 'sentence-embeddings', 'multiple-tasks', 'stable-diffusion', 'text-to-video', 'tts', 'all-to-all']",Papers and Book to look at when starting AGI 📚 
2,"""responsible AI""",wbawakate/fairtorch,https://github.com/wbawakate/fairtorch,2020-07-23T10:48:17+00:00,2025-03-30T22:02:26+00:00,2023-04-21T20:31:53+00:00,Python,73,9,73,5,False,[],PyTorch implementation of parity loss as constraints function to realize the fairness of machine learning.
3,"""responsible AI""",grockious/lcrl,https://github.com/grockious/lcrl,2020-08-03T20:16:22+00:00,2025-03-21T16:09:37+00:00,2024-07-05T16:42:16+00:00,Python,54,13,54,2,False,[],Logically-Constrained Reinforcement Learning
4,"""responsible AI""",airctic/icedata,https://github.com/airctic/icedata,2020-09-08T22:14:47+00:00,2024-03-19T13:22:29+00:00,2022-03-15T14:23:08+00:00,Python,49,13,49,16,False,"['voc-parser', 'dataset', 'computer-vision-datasets', 'coco', 'annotations-formats', 'deep-learning', 'object-detection', 'fastai', 'annotation-parsers', 'coco-parser', 'pytorch', 'pytorch-lightning', 'custom-parser', 'coco-dataset', 'voc-dataset', 'pycocotools', 'pycoco']",IceData: Datasets Hub for the *IceVision* Framework
5,"""responsible AI""",mikeroyal/Machine-Learning-Guide,https://github.com/mikeroyal/Machine-Learning-Guide,2020-10-17T19:53:49+00:00,2025-05-20T00:14:16+00:00,2024-01-04T22:45:19+00:00,Python,624,53,624,1,False,"['python', 'deep-learning', 'machine-learning-library', 'machinelearning', 'machine-learning-models', 'pytorch', 'machinelearning-python', 'scikit-learn', 'scikitlearn-machine-learning', 'support-vector-machines', 'gpt-3', 'aws-sagemaker', 'artificial-neural-networks', 'jax', 'image-classification', 'gpt-4', 'generative-ai', 'image-processing', 'gpt4all', 'llms']","Machine learning Guide. Learn all about Machine Learning Tools, Libraries, Frameworks, Large Language Models (LLMs), and Training Models."
6,"""responsible AI""",FederatedAI/research,https://github.com/FederatedAI/research,2020-10-22T03:35:48+00:00,2025-05-18T11:49:21+00:00,2024-10-24T14:10:30+00:00,Python,176,26,176,4,False,[],
7,"""responsible AI""",tensorflow/model-remediation,https://github.com/tensorflow/model-remediation,2020-10-23T17:56:58+00:00,2025-02-21T15:53:09+00:00,2023-03-06T20:09:48+00:00,Python,42,21,42,7,False,"['tensorflow', 'machine-learning']",Model Remediation is a library that provides solutions for machine learning practitioners working to create and train models in a way that reduces or eliminates user harm resulting from underlying performance biases.
