total_index,keyword_source,full_name,html_url,create_date,update_date,pushed_date,language,stars,forks,watchers,open_issues,is_fork,topics,description
0,"""generative AI""",databricks/databricks-ml-examples,https://github.com/databricks/databricks-ml-examples,2017-05-30T22:57:50+00:00,2025-05-06T18:30:17+00:00,2024-03-28T23:50:34+00:00,Python,352,123,352,9,False,[],
1,"""generative AI""",OlafenwaMoses/ImageAI,https://github.com/OlafenwaMoses/ImageAI,2018-03-19T23:12:33+00:00,2025-05-21T13:55:50+00:00,2024-08-03T09:45:20+00:00,Python,8788,2199,8788,321,False,"['artificial-intelligence', 'machine-learning', 'prediction', 'image-prediction', 'python', 'python3', 'offline-capable', 'imageai', 'artificial-neural-networks', 'algorithm', 'image-recognition', 'object-detection', 'squeezenet', 'densenet', 'video', 'inceptionv3', 'detection', 'gpu', 'ai-practice-recommendations']",A python library built to empower developers to build applications and systems  with self-contained Computer Vision capabilities
2,"""generative AI""",georgia-tech-db/evadb,https://github.com/georgia-tech-db/evadb,2018-09-10T02:26:03+00:00,2025-05-20T12:46:47+00:00,2024-05-17T16:33:06+00:00,Python,2673,265,2673,143,False,"['eva', 'video-analytics', 'serving', 'database', 'labeling', 'object-detection', 'data-analysis', 'ai', 'chatgpt', 'langchain', 'auto-gpt', 'gpt4all', 'huggingface', 'llm', 'gpt-4', 'agent', 'hacktoberfest']",Database system for AI-powered apps
3,"""generative AI""",alexarnimueller/SMILES_generator,https://github.com/alexarnimueller/SMILES_generator,2019-04-04T07:31:11+00:00,2025-01-11T11:48:26+00:00,2022-01-21T22:33:20+00:00,Python,18,4,18,1,False,[],Generative RNN for molecule de novo design
4,"""generative AI""",Eurus-Holmes/Awesome-Multimodal-Research,https://github.com/Eurus-Holmes/Awesome-Multimodal-Research,2019-07-31T14:15:49+00:00,2025-05-17T16:19:32+00:00,2023-08-05T05:44:56+00:00,Python,1347,150,1347,1,False,"['awesome', 'multimodal-research', 'multimodal-learning', 'multimodal']",A curated list of Multimodal Related Research.
5,"""generative AI""",kaust-generative-ai/pytorch-gpu-genai-project,https://github.com/kaust-generative-ai/pytorch-gpu-genai-project,2019-09-18T05:40:32+00:00,2025-01-05T14:30:07+00:00,2024-09-04T10:20:42+00:00,Python,22,10,22,0,False,"['template-project', 'data-science', 'scientific-computing', 'scientific-workflows', 'scientific-research', 'gpu-acceleration', 'gpu', 'python-3', 'pytorch', 'deep-learning', 'generative-ai']",Template repository for a Python 3-based Generative AI project with GPU acceleration using the PyTorch ecosystem.
6,"""generative AI""",tjukanovt/30DayMapChallenge,https://github.com/tjukanovt/30DayMapChallenge,2019-12-27T12:59:21+00:00,2025-05-14T09:04:59+00:00,2024-10-14T11:46:52+00:00,Python,824,109,824,2,False,"['gis', 'visualization', 'geospatial-visualization', 'gis-data']",Official repo for the #30DayMapChallenge data visualization project. Open to everyone!
7,"""generative AI""",onekk/freecad-doc,https://github.com/onekk/freecad-doc,2020-02-19T18:19:42+00:00,2025-03-17T15:35:19+00:00,2024-03-03T16:01:12+00:00,Python,22,2,22,0,False,"['freecad-doc', 'noderivatives']",FreeCAD Documents 
8,"""generative AI""",robvdw/CMIDAT01K-DATA-SCIENCE-for-IOT,https://github.com/robvdw/CMIDAT01K-DATA-SCIENCE-for-IOT,2020-02-26T18:26:02+00:00,2025-04-24T10:36:04+00:00,2024-01-15T12:33:33+00:00,Python,11,2,11,0,False,"['data-science', 'internet-of-things', 'diy-solutions', 'rapid-prototyping', 'raspberry-pi', 'iot', 'coding', 'sensors', 'node-js']","This course is designed to provide a basic grounding of the Internet of Things (IoT) and Data Science with a practical knowledge of the Raspberry Pi as the main device to build a consumer  IoT data pipeline. The aim is to equip students with hands-on experience to solve  basic IoT problems. Providing them with templates and a data-toolkit (code), which can be implemented through popular single board microcontrollers (Arduino and/or Raspberry Pi)."
